host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count,tr_version,rx_mask,air_us,post_us,cycle_us,rx_seen,imu_valid,imu_n,acc_norm_mean_mg,acc_norm_std_mg,acc_norm_min_mg,acc_norm_max_mg,imu_skip_count
0.256913,1782211450.970766,421,,BSF66F,,f,0,0,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
0.256913,1782211450.970766,421,,BSF66F,,f,0,1,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
0.256913,1782211450.970766,421,,BSF66F,,f,0,2,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
0.256913,1782211450.970766,421,,BSF66F,,f,0,3,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
0.256913,1782211450.970766,421,,BSF66F,,f,0,4,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
0.256913,1782211450.970766,421,,BSF66F,,f,0,5,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
0.256913,1782211450.970766,421,,BSF66F,,f,0,6,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
0.256913,1782211450.970766,421,,BSF66F,,f,0,7,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
0.256913,1782211450.970766,422,,BSF66F,,f,0,0,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
0.256913,1782211450.970766,422,,BSF66F,,f,0,1,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
0.256913,1782211450.970766,422,,BSF66F,,f,0,2,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
0.256913,1782211450.970766,422,,BSF66F,,f,0,3,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
0.256913,1782211450.970766,422,,BSF66F,,f,0,4,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
0.256913,1782211450.970766,422,,BSF66F,,f,0,5,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
0.256913,1782211450.970766,422,,BSF66F,,f,0,6,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
0.256913,1782211450.970766,422,,BSF66F,,f,0,7,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,423,,BSF66F,,f,0,0,0,0,0,0,T,0,0,53710,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,423,,BSF66F,,f,0,1,0,0,0,0,T,0,0,53710,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,423,,BSF66F,,f,0,2,0,0,0,0,T,0,0,53710,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,423,,BSF66F,,f,0,3,0,0,0,0,T,0,0,53710,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,423,,BSF66F,,f,0,4,0,0,0,0,T,0,0,53710,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,423,,BSF66F,,f,0,5,0,0,0,0,T,0,0,53710,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,423,,BSF66F,,f,0,6,0,0,0,0,T,0,0,53710,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,423,,BSF66F,,f,0,7,0,0,0,0,T,0,0,53710,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,424,,BSF66F,,f,0,0,0,0,0,0,T,0,0,9063,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,424,,BSF66F,,f,0,1,0,0,0,0,T,0,0,9063,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,424,,BSF66F,,f,0,2,0,0,0,0,T,0,0,9063,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,424,,BSF66F,,f,0,3,0,0,0,0,T,0,0,9063,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,424,,BSF66F,,f,0,4,0,0,0,0,T,0,0,9063,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,424,,BSF66F,,f,0,5,0,0,0,0,T,0,0,9063,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,424,,BSF66F,,f,0,6,0,0,0,0,T,0,0,9063,8,3,,,,,,0,0,,,,,0
0.819282,1782211451.533135,424,,BSF66F,,f,0,7,0,0,0,0,T,0,0,9063,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,425,,BSF66F,,f,0,0,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,425,,BSF66F,,f,0,1,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,425,,BSF66F,,f,0,2,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,425,,BSF66F,,f,0,3,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,425,,BSF66F,,f,0,4,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,425,,BSF66F,,f,0,5,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,425,,BSF66F,,f,0,6,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,425,,BSF66F,,f,0,7,0,0,0,0,T,0,0,9277,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,426,,BSF66F,,f,0,0,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,426,,BSF66F,,f,0,1,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,426,,BSF66F,,f,0,2,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,426,,BSF66F,,f,0,3,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,426,,BSF66F,,f,0,4,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,426,,BSF66F,,f,0,5,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,426,,BSF66F,,f,0,6,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
1.254428,1782211451.968281,426,,BSF66F,,f,0,7,0,0,0,0,T,0,0,9124,8,3,,,,,,0,0,,,,,0
1.813833,1782211452.527686,427,,BSF66F,,f,0,0,0,0,0,0,T,0,0,53314,8,3,,,,,,0,0,,,,,0
1.813833,1782211452.527686,427,,BSF66F,,f,0,1,0,0,0,0,T,0,0,53314,8,3,,,,,,0,0,,,,,0
1.813833,1782211452.527686,427,,BSF66F,,f,0,2,0,0,0,0,T,0,0,53314,8,3,,,,,,0,0,,,,,0
1.813833,1782211452.527686,427,,BSF66F,,f,0,3,0,0,0,0,T,0,0,53314,8,3,,,,,,0,0,,,,,0
1.813833,1782211452.527686,427,,BSF66F,,f,0,4,0,0,0,0,T,0,0,53314,8,3,,,,,,0,0,,,,,0
1.813833,1782211452.527686,427,,BSF66F,,f,0,5,0,0,0,0,T,0,0,53314,8,3,,,,,,0,0,,,,,0
