node,imu_samples,imu_batches,imu_sequence_gaps,imu_max_master_gap_ms,imu_malformed
BSF3C79,359981,35999,0,201,0
BSFC2CC,360031,36004,0,499,0
BSF44AD,359985,36000,0,201,0
BSF6C53,359969,35999,0,200,0
BSF8BC4,359980,35999,0,300,0
BSF1120,359969,35999,0,250,0
BSF31CC,359999,36000,0,200,0
BSFAA61,359960,35998,0,298,0
BSFB165,359990,36000,0,250,0
BSFEC35,359962,35998,0,201,0
