host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
3.50697,1777158946.87463,61182,,BS2DCE,,cal_roto,5,success,94,4,4,31,35,0
3.634642,1777158947.002302,61183,,BS2DCE,,cal_roto,5,success,95,4,4,12,13,0
3.815058,1777158947.182718,61184,,BS2DCE,,cal_roto,5,success,95,4,4,30,34,0
4.017407,1777158947.385067,61185,,BS2DCE,,cal_roto,5,success,95,4,4,2,3,0
4.227146,1777158947.594806,61186,,BS2DCE,,cal_roto,5,success,95,4,4,68,77,0
4.431762,1777158947.799422,61187,,BS2DCE,,cal_roto,5,success,96,4,4,46,52,0
4.63989,1777158948.00755,61188,,BS2DCE,,cal_roto,5,success,96,4,4,17,20,0
4.842402,1777158948.210062,61189,,BS2DCE,,cal_roto,5,success,96,4,4,20,24,0
5.024359,1777158948.392019,61190,,BS2DCE,,cal_roto,5,success,96,4,4,1,2,0
5.232108,1777158948.599768,61191,,BS2DCE,,cal_roto,5,success,96,4,4,16,18,0
5.416913,1777158948.784573,61192,,BS2DCE,,cal_roto,5,success,97,4,4,10,11,0
5.616826,1777158948.984486,61193,,BS2DCE,,cal_roto,5,success,97,4,4,17,18,0
5.817145,1777158949.184805,61194,,BS2DCE,,cal_roto,5,success,97,4,4,9,9,0
6.049642,1777158949.417302,61195,,BS2DCE,,cal_roto,5,success,97,4,4,3,4,0
6.285847,1777158949.653507,61196,,BS2DCE,,cal_roto,5,success,97,4,4,1,1,0
6.466419,1777158949.834079,61197,,BS2DCE,,cal_roto,5,success,97,4,4,31,35,0
6.672086,1777158950.039746,61198,,BS2DCE,,cal_roto,5,success,97,4,4,183,198,0
6.824577,1777158950.192237,61199,,BS2DCE,,cal_roto,5,success,97,4,4,54,56,0
7.00736,1777158950.37502,61200,,BS2DCE,,cal_roto,5,success,98,4,4,78,81,0
7.234936,1777158950.602596,61201,,BS2DCE,,cal_roto,5,success,98,4,4,1,1,0
7.416921,1777158950.784581,61202,,BS2DCE,,cal_roto,5,success,98,4,4,2,2,0
7.61731,1777158950.98497,61203,,BS2DCE,,cal_roto,5,success,98,4,4,0,1,0
7.827275,1777158951.194935,61204,,BS2DCE,,cal_roto,5,success,98,4,4,20,23,0
8.032191,1777158951.399851,61205,,BS2DCE,,cal_roto,5,success,98,4,4,6,7,0
8.239931,1777158951.607591,61206,,BS2DCE,,cal_roto,5,success,98,4,4,36,39,0
8.44245,1777158951.81011,61207,,BS2DCE,,cal_roto,5,success,98,4,4,37,43,0
8.622292,1777158951.989952,61208,,BS2DCE,,cal_roto,5,success,99,4,4,15,17,0
8.832395,1777158952.200055,61209,,BS2DCE,,cal_roto,5,success,99,4,4,33,38,0
9.034812,1777158952.402472,61210,,BS2DCE,,cal_roto,5,success,99,4,4,1,1,0
9.217078,1777158952.584738,61211,,BS2DCE,,cal_roto,5,success,99,4,4,9,10,0
9.419081,1777158952.786741,61212,,BS2DCE,,cal_roto,5,success,99,4,4,4,5,0
9.627215,1777158952.994875,61213,,BS2DCE,,cal_roto,5,success,99,4,4,9,10,0
9.832127,1777158953.199787,61214,,BS2DCE,,cal_roto,5,success,99,4,4,17,18,0
10.04001,1777158953.40767,61215,,BS2DCE,,cal_roto,5,success,99,4,4,36,40,0
10.27718,1777158953.64484,61216,,BS2DCE,,cal_roto,5,success,100,4,4,9,10,0
10.424688,1777158953.792348,61217,,BS2DCE,,cal_roto,5,success,100,4,4,1,1,0
10.633081,1777158954.000741,61218,,BS2DCE,,cal_roto,5,success,100,4,4,68,76,0
10.835015,1777158954.202675,61219,,BS2DCE,,cal_roto,5,success,100,4,4,26,28,0
11.016708,1777158954.384368,61220,,BS2DCE,,cal_roto,5,success,100,4,4,87,89,0
11.21754,1777158954.5852,61221,,BS2DCE,,cal_roto,5,success,100,4,4,9,10,0
11.448683,1777158954.816343,61222,,BS2DCE,,cal_roto,5,success,100,4,4,15,16,0
11.631825,1777158954.999485,61223,,BS2DCE,,cal_roto,5,success,100,4,4,4,4,0
11.815377,1777158955.183037,61224,,BS2DCE,,cal_roto,5,success,100,4,4,37,41,0
12.042662,1777158955.410322,61225,,BS2DCE,,cal_roto,5,success,100,4,4,1,1,0
12.254087,1777158955.621747,61226,,BS2DCE,,cal_roto,5,success,100,4,4,80,85,0
12.47699,1777158955.84465,61227,,BS2DCE,,cal_roto,5,success,100,4,4,10,11,0
12.635146,1777158956.002806,61228,,BS2DCE,,cal_roto,5,success,100,4,4,4,4,0
12.817005,1777158956.184665,61229,,BS2DCE,,cal_roto,5,success,100,4,4,15,18,0
13.017929,1777158956.385589,61230,,BS2DCE,,cal_roto,5,success,100,4,4,5,5,0
13.227775,1777158956.595435,61231,,BS2DCE,,cal_roto,5,success,100,4,4,8,9,0
13.429961,1777158956.797621,61232,,BS2DCE,,cal_roto,5,success,100,4,4,6,7,0
13.640034,1777158957.007694,61233,,BS2DCE,,cal_roto,5,success,100,4,4,3,3,0
13.872457,1777158957.240117,61234,,BS2DCE,,cal_roto,5,success,100,4,4,15,16,0
14.024676,1777158957.392336,61235,,BS2DCE,,cal_roto,5,success,100,4,4,3,3,0
14.277908,1777158957.645568,61236,,BS2DCE,,cal_roto,5,success,100,4,4,8,9,0
14.43497,1777158957.80263,61237,,BS2DCE,,cal_roto,5,success,100,4,4,4,4,0
14.617264,1777158957.984924,61238,,BS2DCE,,cal_roto,5,success,100,4,4,77,86,0
14.817711,1777158958.185371,61239,,BS2DCE,,cal_roto,5,success,100,4,4,0,1,0
15.003015,1777158958.370675,61240,,BS2DCE,,cal_roto,5,success,100,4,4,133,143,0
15.232513,1777158958.600173,61241,,BS2DCE,,cal_roto,5,success,100,4,4,3,4,0
15.439889,1777158958.807549,61242,,BS2DCE,,cal_roto,5,success,100,4,4,27,28,0
15.642451,1777158959.010111,61243,,BS2DCE,,cal_roto,5,success,100,4,4,20,22,0
15.825026,1777158959.192686,61244,,BS2DCE,,cal_roto,5,success,100,4,4,8,8,0
16.033056,1777158959.400716,61245,,BS2DCE,,cal_roto,5,success,100,4,4,46,50,0
16.237096,1777158959.604756,61246,,BS2DCE,,cal_roto,5,success,100,4,4,27,30,0
16.417558,1777158959.785218,61247,,BS2DCE,,cal_roto,5,success,100,4,4,1,2,0
16.620206,1777158959.987866,61248,,BS2DCE,,cal_roto,5,success,100,4,4,26,29,0
16.849428,1777158960.217088,61249,,BS2DCE,,cal_roto,5,success,100,4,4,9,10,0
17.081968,1777158960.449628,61250,,BS2DCE,,cal_roto,5,success,100,4,4,12,13,0
17.240156,1777158960.607816,61251,,BS2DCE,,cal_roto,5,success,100,4,4,11,11,0
17.442539,1777158960.810199,61252,,BS2DCE,,cal_roto,5,success,100,4,4,4,4,0
17.62484,1777158960.9925,61253,,BS2DCE,,cal_roto,5,success,100,4,4,9,9,0
17.833125,1777158961.200785,61254,,BS2DCE,,cal_roto,5,success,100,4,4,28,31,0
18.035571,1777158961.403231,61255,,BS2DCE,,cal_roto,5,success,100,4,4,7,8,0
18.215585,1777158961.583245,61256,,BS2DCE,,cal_roto,5,success,100,4,4,15,17,0
18.42164,1777158961.7893,61257,,BS2DCE,,cal_roto,5,success,100,4,4,163,179,0
18.62779,1777158961.99545,61258,,BS2DCE,,cal_roto,5,success,100,4,4,32,34,0
18.832049,1777158962.199709,61259,,BS2DCE,,cal_roto,5,success,100,4,4,32,34,0
19.040169,1777158962.407829,61260,,BS2DCE,,cal_roto,5,success,100,4,4,11,11,0
19.272505,1777158962.640165,61261,,BS2DCE,,cal_roto,5,success,100,4,4,41,42,0
19.425222,1777158962.792882,61262,,BS2DCE,,cal_roto,5,success,100,4,4,3,4,0
