eval_set,pair,n_ab,n_ba,med_ab,med_ba,mad_ab,mad_ba,asymmetry,median_all,mad_all
solve,A-B,500,500,3000.0,3012.0,29.651999999999997,26.686799999999998,12.0,3006.0,29.651999999999997
solve,A-C,500,500,5531.0,5546.0,17.7912,19.273799999999998,15.0,5539.0,20.7564
solve,A-D,500,500,4671.0,4702.0,35.5824,45.9606,31.0,4686.0,42.9954
solve,A-E,500,500,1449.0,1481.0,25.2042,28.1694,32.0,1465.0,31.1346
solve,A-F,500,500,3196.0,3197.0,37.065,25.2042,1.0,3197.0,29.651999999999997
solve,A-G,500,500,5752.0,5773.0,25.2042,22.238999999999997,21.0,5763.0,25.2042
solve,A-H,500,500,4854.0,4867.0,38.547599999999996,32.6172,13.0,4862.0,35.5824
solve,B-C,500,500,4575.0,4577.0,35.5824,34.099799999999995,2.0,4576.0,35.5824
solve,B-D,500,500,5453.0,5428.5,41.5128,37.8063,24.5,5442.0,41.5128
solve,B-E,500,500,3210.0,3219.0,31.1346,23.7216,9.0,3215.0,28.1694
solve,B-F,500,500,1452.0,1437.0,29.651999999999997,14.825999999999999,15.0,1442.0,20.7564
solve,B-G,500,500,4995.0,5033.0,38.547599999999996,42.9954,38.0,5013.0,47.4432
solve,B-H,500,500,5648.0,5669.0,18.5325,19.273799999999998,21.0,5659.0,22.238999999999997
solve,C-D,500,500,3137.5,3115.0,42.2541,34.099799999999995,22.5,3125.5,39.2889
solve,C-E,500,500,5673.0,5674.0,15.5673,16.3086,1.0,5673.0,16.3086
solve,C-F,500,500,4812.0,4797.0,17.7912,16.3086,15.0,4805.0,17.7912
solve,C-G,500,500,1740.0,1731.0,26.686799999999998,28.1694,9.0,1735.0,28.1694
solve,C-H,500,500,3460.0,3451.0,34.099799999999995,31.875899999999998,9.0,3454.0,32.6172
solve,D-E,500,500,5085.0,5115.0,29.651999999999997,34.099799999999995,30.0,5098.0,34.099799999999995
solve,D-F,500,500,5590.0,5596.0,28.9107,31.1346,6.0,5592.0,29.651999999999997
solve,D-G,500,500,3276.5,3285.0,20.0151,17.7912,8.5,3281.0,20.7564
solve,D-H,500,500,1528.5,1516.0,48.1845,35.5824,12.5,1520.0,41.5128
solve,E-F,500,500,2801.5,2784.0,21.4977,20.7564,17.5,2792.0,22.238999999999997
solve,E-G,500,500,5608.0,5606.0,19.273799999999998,19.273799999999998,2.0,5607.0,19.273799999999998
solve,E-H,500,500,4567.0,4573.0,34.099799999999995,25.9455,6.0,4570.0,31.1346
solve,F-G,500,500,4659.0,4656.0,17.7912,17.7912,3.0,4658.0,17.7912
solve,F-H,500,500,5452.0,5471.0,25.2042,25.2042,19.0,5461.0,26.686799999999998
solve,G-H,500,500,2936.0,2948.0,22.238999999999997,25.2042,12.0,2942.0,25.2042
