host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count,tr_version,rx_mask,air_us,post_us,cycle_us,rx_seen,imu_valid,imu_n,acc_norm_mean_mg,acc_norm_std_mg,acc_norm_min_mg,acc_norm_max_mg,imu_skip_count
0.016562,1782238773.677837,1195,,BSF66F,,f,0,0,0,0,0,0,T,1,0,9277,8,2,ff,0,9277,9277,1,0,0,,,,,0
0.016562,1782238773.677837,1195,,BSF66F,,f,0,1,0,0,0,0,T,1,0,9277,8,2,ff,0,9277,9277,1,0,0,,,,,0
0.016562,1782238773.677837,1195,,BSF66F,,f,0,2,0,0,0,0,T,1,0,9277,8,2,ff,0,9277,9277,1,0,0,,,,,0
0.016562,1782238773.677837,1195,,BSF66F,,f,0,3,0,0,0,0,T,1,0,9277,8,2,ff,0,9277,9277,1,0,0,,,,,0
0.016562,1782238773.677837,1195,,BSF66F,,f,0,4,0,0,0,0,T,1,0,9277,8,2,ff,0,9277,9277,1,0,0,,,,,0
0.016562,1782238773.677837,1195,,BSF66F,,f,0,5,0,0,0,0,T,1,0,9277,8,2,ff,0,9277,9277,1,0,0,,,,,0
0.016562,1782238773.677837,1195,,BSF66F,,f,0,6,0,0,0,0,T,1,0,9277,8,2,ff,0,9277,9277,1,0,0,,,,,0
0.016562,1782238773.677837,1195,,BSF66F,,f,0,7,0,1384,14,0,T,1,0,9277,8,2,ff,0,9277,9277,1,0,0,,,,,0
0.016562,1782238773.677837,1196,,BSF66F,,f,0,0,0,0,0,0,T,1,0,9307,8,2,ff,0,9307,9307,1,0,0,,,,,0
0.016562,1782238773.677837,1196,,BSF66F,,f,0,1,0,0,0,0,T,1,0,9307,8,2,ff,0,9307,9307,1,0,0,,,,,0
0.016562,1782238773.677837,1196,,BSF66F,,f,0,2,0,0,0,0,T,1,0,9307,8,2,ff,0,9307,9307,1,0,0,,,,,0
0.016562,1782238773.677837,1196,,BSF66F,,f,0,3,0,0,0,0,T,1,0,9307,8,2,ff,0,9307,9307,1,0,0,,,,,0
0.016562,1782238773.677837,1196,,BSF66F,,f,0,4,0,0,0,0,T,1,0,9307,8,2,ff,0,9307,9307,1,0,0,,,,,0
0.016562,1782238773.677837,1196,,BSF66F,,f,0,5,0,0,0,0,T,1,0,9307,8,2,ff,0,9307,9307,1,0,0,,,,,0
0.016562,1782238773.677837,1196,,BSF66F,,f,0,6,0,0,0,0,T,1,0,9307,8,2,ff,0,9307,9307,1,0,0,,,,,0
0.016562,1782238773.677837,1196,,BSF66F,,f,0,7,0,1384,12,0,T,1,0,9307,8,2,ff,0,9307,9307,1,0,0,,,,,0
0.24166,1782238773.902934,1197,,BSF66F,,f,0,0,0,0,0,0,T,1,0,9246,8,2,ff,0,9246,9246,1,0,0,,,,,0
