tag_delay_mode,tag_delay_value_mm,tag_method,ID,capture,location,height,facing,frames_input,frames_solved,solve_fraction,point_estimator,solved_x_mm,solved_y_vertical_mm,solved_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_3d_mm,err_horizontal_xz_mm,err_vertical_y_mm,tag_truth_source,tag_truth_corrected,d3_std_mm,d3_p95_mm,residual_rms_median_mm,residual_rms_p95_mm,anchors_input_median,anchors_used_median,pct_frames_ge8_anchors_input,distance_to_array_centroid_mm
D0,0.0,T4,ID01,static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,1201,1201,1.0,mean,-483.4933358023519,4.193083578004644,-371.1267772270661,-542.215344349341,182.54280058407934,-383.3240609304319,58.72200854698906,-178.3497170060747,12.197283703365827,188.1639433411194,59.9753951011,178.3497170060747,reconstructed_from_relabelled_balls,True,59.15460095960602,107.79679273729347,80.6905833195252,160.44620615707996,8.0,8.0,91.75686927560366,889.8367413746068
D0,0.0,T4,ID02,static_ID02_BSF66F_120s_20260528_111027,edge,mid,ABEF,1201,1201,1.0,mean,-527.74329625435,1047.0043523175843,-233.42010531643442,-543.22998,1105.589,-259.92136,15.486683745649998,-58.58464768241561,26.501254683565577,66.13860307954614,30.694525134639015,58.58464768241561,motive_iantenna,False,62.79074918305099,113.24418859157905,78.22738399336447,145.29851951137923,8.0,8.0,95.67027477102414,461.6346339824702
D0,0.0,T4,ID03,static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,1201,1201,1.0,mean,-579.5980152588118,1849.8713579506755,-271.46396535036405,-554.00287,1625.5614500000001,-256.2951,-25.595145258811726,224.30990795067532,-15.168865350364058,226.27448097758966,29.75241060548116,224.30990795067532,motive_iantenna,False,81.6709510503457,181.4792704252496,143.85325431421856,190.7000496437305,8.0,8.0,92.2564529558701,813.3092827400905
D0,0.0,T4,ID04,static_ID04_BSF66F_120s_20260528_111732,edge,low,BCGF,1201,1201,1.0,mean,-271.58430033696243,-75.6610019078485,522.2374559380208,-321.178815,182.16379,479.93381999999997,49.59451466303756,-257.8247919078485,42.303635938020875,265.93765589055687,65.18599157977778,257.8247919078485,motive_iantenna,False,62.00235215001754,146.46242674172902,78.10443350486979,110.53848502149057,8.0,8.0,93.83846794338052,1047.8906733259494
D0,0.0,T4,ID05,static_ID05_BSF66F_120s_20260528_112057,edge,mid,BCGF,1200,1200,1.0,mean,-186.14169107254924,1092.0324651053722,529.5372167420525,-184.9818897969324,1103.5866165595767,473.70402893394925,-1.159801275616843,-11.55415145420443,55.83318780810322,57.02796169985863,55.84523256119405,11.55415145420443,reconstructed_from_relabelled_balls,True,99.30743816043746,217.4297203790356,165.2100208809544,240.8249686519076,8.0,8.0,91.5,705.9514108073571
D0,0.0,T4,ID06,static_ID06_BSF66F_120s_20260528_112429,edge,high,BCGF,1201,1201,1.0,mean,-194.62918248073035,1894.9225644425107,485.6790182551007,-193.231255,1684.95255,476.52297999999996,-1.3979274807303455,209.97001444251077,9.156038255100725,210.17419966008777,9.262140021088486,209.97001444251077,motive_iantenna,False,73.09119868568774,137.21309936371384,88.67164818605163,168.21587455245066,8.0,8.0,92.83930058284763,1013.9317064581626
D0,0.0,T4,ID07,static_ID07_BSF66F_120s_20260528_112810,edge,low,CDHG,1201,1201,1.0,mean,327.23088751127204,13.387232128926156,93.69872453020535,352.14755,211.565355,53.795866000000004,-24.91666248872798,-198.17812287107387,39.90285853020535,203.68516532423567,47.043364978057916,198.17812287107387,motive_iantenna,False,86.93675408190903,144.76947149655018,87.17811840208209,182.72450988826006,8.0,8.0,90.84096586178185,906.6934696461826
D0,0.0,T4,ID08,static_ID08_BSF66F_120s_20260528_113136,edge,mid,CDHG,1201,1201,1.0,mean,485.8999800344025,1109.8527640112673,-92.72459351919333,391.90054,1132.2804,-71.53192899999999,93.99944003440254,-22.427635988732845,-21.192664519193343,98.93443592727165,96.35882811763702,22.427635988732845,motive_iantenna,False,80.38758210914759,143.8544950120088,127.49427967127853,168.49693664929222,8.0,8.0,90.25811823480433,557.6228692802323
D0,0.0,T4,ID09,static_ID09_BSF66F_120s_20260528_113816,edge,high,CDHG,1201,1201,1.0,mean,434.53143490869127,1598.9057308982797,-53.07381996292168,408.80994,1568.1853500000002,-62.425788499999996,25.721494908691284,30.720380898279473,9.351968537078314,41.143607260323066,27.36886215859794,30.720380898279473,motive_iantenna,False,89.34217013463322,117.37887713540609,138.76759624930133,233.66267454340039,8.0,8.0,93.42214820982515,828.1828777899989
D0,0.0,T4,ID10,static_ID10_BSF66F_120s_20260528_114216,edge,low,ADHE,1201,1201,1.0,mean,87.1341237347455,92.49548114984881,-979.4867317213549,65.499245,238.64973,-938.19342,21.6348787347455,-146.1542488501512,-41.29331172135494,153.40883295213496,46.617652995234884,146.1542488501512,motive_iantenna,False,46.16830903228838,87.24459451430317,66.06429688250776,123.49483857922436,8.0,8.0,90.75770191507078,1028.888366883956
D0,0.0,T4,ID11,static_ID11_BSF66F_120s_20260528_114551,edge,mid,ADHE,1201,1201,1.0,mean,-123.01023812178842,1219.6120887919371,-1005.2049020873254,-63.9057945,1133.4998500000002,-956.9902950000001,-59.10444362178842,86.11223879193699,-48.21460708732536,115.03608678230458,76.27570774779039,86.11223879193699,motive_iantenna,False,53.79782462808714,75.30991377028461,96.04292214063689,185.07682642009902,8.0,8.0,91.84013322231473,772.412567618685
D0,0.0,T4,ID12,static_ID12_BSF66F_120s_20260528_115143,edge,high,ADHE,1201,1201,1.0,mean,23.063754941939884,1746.9134697405386,-988.7242345351665,-43.6886845,1590.1300500000002,-956.35754,66.75243944193988,156.78341974053842,-32.366694535166516,173.44893136632604,74.18551803810922,156.78341974053842,motive_iantenna,False,41.635647865720614,74.12637748654124,71.2164539459922,160.9095041764147,8.0,8.0,91.3405495420483,990.2052092885641
