metric,version,eval_set,stat,point,ci_low,ci_high,unit,n_values,n_boot,method,source
layout_rigid_3d_error,v1-old,all8,rms,106.93226194807049,81.6055760353382,132.54781496409467,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/layout_abs_errors_all8.csv
layout_rigid_horizontal_error,v1-old,all8,rms,94.6778500355566,69.54371934246085,118.23833981666309,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/layout_abs_errors_all8.csv
layout_rigid_vertical_error,v1-old,all8,rms,49.70526489191479,28.506856868584936,65.35430410165058,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/layout_abs_errors_all8.csv
layout_rigid_3d_error,v2,all8,rms,135.35811586503337,113.11068589010647,156.93049267974936,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/layout_abs_errors_all8.csv
layout_rigid_horizontal_error,v2,all8,rms,110.02005444645704,81.47980903848668,135.34060466399453,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/layout_abs_errors_all8.csv
layout_rigid_vertical_error,v2,all8,rms,78.8505367776937,47.70257124956308,103.86883376287405,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/layout_abs_errors_all8.csv
layout_rigid_3d_error,v3-full,all8,rms,144.38999057885255,99.12096867410835,181.9454759916414,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/layout_abs_errors_all8.csv
layout_rigid_horizontal_error,v3-full,all8,rms,126.89326334447814,74.15183500687934,166.32811937626659,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/layout_abs_errors_all8.csv
layout_rigid_vertical_error,v3-full,all8,rms,68.89534887893413,48.32884246559655,84.93784624184887,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/layout_abs_errors_all8.csv
layout_rigid_3d_error,v3-lite,all8,rms,135.43795848091966,113.05760013356642,157.16456645475932,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/layout_abs_errors_all8.csv
layout_rigid_horizontal_error,v3-lite,all8,rms,109.82395476767229,81.83651467223332,135.26336487437686,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/layout_abs_errors_all8.csv
layout_rigid_vertical_error,v3-lite,all8,rms,79.25994925980956,47.62365333180893,104.344902294654,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/layout_abs_errors_all8.csv
layout_rigid_3d_error,v4-io,all8,rms,104.94023834102428,81.34677282529212,133.23656685126605,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/layout_abs_errors_all8.csv
layout_rigid_horizontal_error,v4-io,all8,rms,86.1372828538157,54.82504995313765,117.16385586160997,mm,8,10000,nonparametric_bootstrap,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/layout_abs_errors_all8.csv
