version,eval_set,pair,measured_mm,predicted_mm,residual_mm,abs_residual_mm
v1-old,first500,A-B,3007.076,2936.0010996145684,-71.07490038543165,71.07490038543165
v1-old,first500,A-C,5539.504,5496.613377237159,-42.8906227628413,42.8906227628413
v1-old,first500,A-D,4687.223,4683.437624981373,-3.785375018626837,3.785375018626837
v1-old,first500,A-E,1464.898,1504.7360300287735,39.838030028773574,39.838030028773574
v1-old,first500,A-F,3197.434,3195.616452360754,-1.817547639246186,1.817547639246186
v1-old,first500,A-G,5763.407,5775.207642045518,11.800642045517634,11.800642045517634
v1-old,first500,A-H,4860.898,4830.24538988899,-30.65261011101029,30.65261011101029
v1-old,first500,B-C,4575.516,4526.976405121297,-48.5395948787027,48.5395948787027
v1-old,first500,B-D,5442.804,5435.024622037436,-7.7793779625644675,7.7793779625644675
v1-old,first500,B-E,3214.444,3232.831906885795,18.38790688579502,18.38790688579502
v1-old,first500,B-F,1447.516,1428.4247552874594,-19.09124471254063,19.09124471254063
v1-old,first500,B-G,5012.588,4978.101321332106,-34.48667866789401,34.48667866789401
v1-old,first500,B-H,5659.663,5679.699059793615,20.036059793615095,20.036059793615095
v1-old,first500,C-D,3127.855,2965.5501948659817,-162.30480513401835,162.30480513401835
v1-old,first500,C-E,5673.335,5690.428009900908,17.093009900908328,17.093009900908328
v1-old,first500,C-F,4805.084,4714.405489986516,-90.6785100134839,90.6785100134839
v1-old,first500,C-G,1736.939,1550.7477566849216,-186.1912433150785,186.1912433150785
v1-old,first500,C-H,3455.93,3457.5008394182823,1.5708394182825032,1.5708394182825032
v1-old,first500,D-E,5098.816,5033.1250189607845,-65.69098103921533,65.69098103921533
v1-old,first500,D-F,5592.341,5617.126287631439,24.785287631438223,24.785287631438223
v1-old,first500,D-G,3280.433,3282.404701220711,1.971701220711111,1.971701220711111
v1-old,first500,D-H,1525.477,1639.3833950300905,113.90639503009038,113.90639503009038
v1-old,first500,E-F,2792.145,2787.982605254838,-4.162394745162146,4.162394745162146
v1-old,first500,E-G,5606.969,5566.949418128299,-40.01958187170112,40.01958187170112
v1-old,first500,E-H,4573.523,4677.7428480317785,104.21984803177838,104.21984803177838
v1-old,first500,F-G,4657.979,4703.621551064153,45.64255106415294,45.64255106415294
v1-old,first500,F-H,5459.416,5441.566521305978,-17.849478694021855,17.849478694021855
v1-old,first500,G-H,2942.11,2986.2829046393754,44.17290463937525,44.17290463937525
v1-old,last500,A-B,3007.1,2936.0010996145684,-71.09890038543153,71.09890038543153
v1-old,last500,A-C,5535.848,5496.613377237159,-39.234622762841354,39.234622762841354
v1-old,last500,A-D,4665.666,4683.437624981373,17.771624981372952,17.771624981372952
v1-old,last500,A-E,1462.068,1504.7360300287735,42.6680300287735,42.6680300287735
v1-old,last500,A-F,3195.355,3195.616452360754,0.26145236075399225,0.26145236075399225
v1-old,last500,A-G,5756.187,5775.207642045518,19.02064204551789,19.02064204551789
v1-old,last500,A-H,4856.998,4830.24538988899,-26.752610111009744,26.752610111009744
v1-old,last500,B-C,4566.663,4526.976405121297,-39.686594878702635,39.686594878702635
v1-old,last500,B-D,5435.958,5435.024622037436,-0.9333779625640091,0.9333779625640091
v1-old,last500,B-E,3214.732,3232.831906885795,18.099906885795008,18.099906885795008
v1-old,last500,B-F,1437.184,1428.4247552874594,-8.759244712540522,8.759244712540522
v1-old,last500,B-G,4999.468,4978.101321332106,-21.36667866789412,21.36667866789412
v1-old,last500,B-H,5660.013,5679.699059793615,19.68605979361473,19.68605979361473
v1-old,last500,C-D,3126.7,2965.5501948659817,-161.14980513401815,161.14980513401815
v1-old,last500,C-E,5668.228,5690.428009900908,22.2000099009083,22.2000099009083
v1-old,last500,C-F,4801.999,4714.405489986516,-87.59351001348386,87.59351001348386
v1-old,last500,C-G,1730.828,1550.7477566849216,-180.0802433150784,180.0802433150784
v1-old,last500,C-H,3455.981,3457.5008394182823,1.5198394182821175,1.5198394182821175
v1-old,last500,D-E,5099.231,5033.1250189607845,-66.1059810392153,66.1059810392153
v1-old,last500,D-F,5592.732,5617.126287631439,24.3942876314386,24.3942876314386
v1-old,last500,D-G,3272.009,3282.404701220711,10.39570122071109,10.39570122071109
v1-old,last500,D-H,1531.652,1639.3833950300905,107.73139503009043,107.73139503009043
v1-old,last500,E-F,2791.279,2787.982605254838,-3.2963947451621607,3.2963947451621607
v1-old,last500,E-G,5602.982,5566.949418128299,-36.03258187170104,36.03258187170104
v1-old,last500,E-H,4570.565,4677.7428480317785,107.17784803177892,107.17784803177892
v1-old,last500,F-G,4656.935,4703.621551064153,46.68655106415281,46.68655106415281
