version,ID,peer,path,tilt,facing,status,N_frames,radius,radial_std,z_plane_std,circle_thickness_std_diagnostic,circle_thickness_rms_diagnostic,circle_thickness_p95_diagnostic,plane_tilt_deg,center_x,center_y,center_z,normal_x,normal_y,normal_z,turn_count,estimated_turns,turn_center_rms_3d_mm,turn_center_p95_3d_mm,turn_center_x_std_mm,turn_center_y_std_mm,turn_center_z_std_mm,turn_radius_std_mm,median_anchors,pct_ge7,pct_ge8
v1-old,ID25,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID25_20260513_164836,planar,none,ok,1801,461.4962431979556,53.090116942932646,142.3028354852165,89.63627072570472,151.87239929603854,314.6900849448795,9.585737820084237,1243.6894127462003,2847.945913403549,-955.5667536642186,-0.03266032281651837,0.1632890522079351,-0.9860375189324972,48,47.776398362419606,22.392394962318296,35.111627625781196,11.3473904636379,8.447611537189486,17.662458435482954,6.775463614335526,8.0,99.94447529150472,87.56246529705719
v1-old,ID25,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID25_20260513_164836,planar,none,ok,1800,592.3360470416387,65.7119068605132,123.66585861158624,83.63931124040293,140.0491241594121,275.95294652542543,7.370103641401952,1239.9083907756662,2848.21904519482,-894.0974623584112,-0.10354559133183867,0.07572047579837893,-0.991738231621937,47,47.74179776516867,17.512872384570166,27.282976818808653,10.288747324077004,6.853082814033867,12.67063692586021,6.4806551330137845,8.0,99.77777777777777,73.77777777777777
v1-old,ID26,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID26_20260513_165308,small,BCGF,ok,1800,472.7895822457426,76.61543023846018,139.3343117827976,96.05434049179304,159.0878214707233,318.4213163632036,20.3066601775427,1266.369878712679,2781.353467465136,-935.3008403957125,0.048962672987785484,0.3435733699797799,0.9378485997721745,47,47.68524835302489,25.27286590378775,38.0891129405412,11.9801904004205,8.410416523843345,20.936638969896126,8.889195377155676,8.0,99.8888888888889,85.05555555555556
v1-old,ID26,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID26_20260513_165308,small,BCGF,ok,1801,586.4315688568752,76.39970325939858,116.35590462241888,80.47482625838403,139.24727808073837,276.20276866013603,17.22915095308192,1263.6600023037672,2771.2519957657305,-881.7321273563065,-0.0584215083729937,-0.29037533595701653,-0.9551277881138598,48,47.766234950646364,18.872240693334415,27.472391145576008,11.424625976140872,9.14729948317498,12.228826838612012,7.531829716689592,8.0,99.50027762354247,80.62187673514714
v1-old,ID27,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID27_20260513_165732,small,CDHG,ok,1800,457.7174103812351,55.43568300391826,122.45397153798723,78.1005645734528,134.42244038595584,260.4326911316603,19.80175917452673,1353.185094899133,2784.309173922036,-960.3793402160953,-0.19324786302552352,-0.2782412871059061,0.9408703681090809,48,47.7587264088573,24.908487037634316,45.61604220711113,10.51243259495734,9.58567738533057,20.766245997132774,7.411174940909749,8.0,100.0,86.61111111111111
v1-old,ID27,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID27_20260513_165732,small,CDHG,ok,1801,569.3503899039066,64.82066567816214,137.94547929796173,98.55652576730313,152.4187141634457,319.7459650354141,13.766580232216102,1351.2963106634265,2760.5090514277163,-886.8052579312028,0.18323047996437894,0.15183830064600023,-0.9712732476852011,48,47.82924553711768,27.361112688998368,40.86137250622862,17.27342531160692,13.485000065947593,16.862453767236325,6.7606522868581855,8.0,99.7223764575236,78.67851193781232
v1-old,ID28,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID28_20260513_170229,small,ADHE,ok,1800,463.79294736586286,59.55674730335181,100.46867348830607,62.98069818483773,116.82512511276617,217.45055174891692,22.730988867489184,1396.1956049146675,2804.8789452372766,-999.4925455725215,0.019658487891512786,-0.3859045574993156,0.9223292342515643,47,47.508201299915655,24.234615074042864,35.03574975251194,14.115227239261621,9.99262006189942,17.34912745769045,7.572045537915452,8.0,99.94444444444444,85.83333333333333
v1-old,ID28,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID28_20260513_170229,small,ADHE,ok,1801,591.3320584983653,59.821923804573075,106.32595173832823,70.83818653026266,122.00327675306498,224.49226660555684,20.83049028429517,1407.9599362744973,2784.3356731467384,-938.1906914939349,0.009817096207473595,-0.35546884996222705,0.9346365717906531,47,47.5243309966914,18.8729048563175,30.384862278594934,11.648908767868852,8.870483542336816,12.228948015308836,7.014303938704153,8.0,99.55580233203776,74.34758467518046
v1-old,ID29,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID29_20260513_171014,mid,ABEF,ok,1800,461.90936035466257,72.25013852197745,143.45738315949143,88.2869891646782,160.67998984957686,310.60134159069565,18.6402344632747,1336.994371779026,2724.404743890844,-1004.8026230548179,0.3103870403952324,0.07628815575693193,0.9475441955106338,47,47.695320244338745,25.431820809385258,39.970850463035994,11.137564446553188,13.41158917887095,18.892374763961765,7.632280162331958,8.0,99.94444444444444,88.55555555555556
v1-old,ID29,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID29_20260513_171014,mid,ABEF,ok,1800,582.7398546320343,58.897788049128664,110.46862208725103,73.01618448373019,125.18967109247046,238.0676664155626,17.78700122818922,1344.6493726055735,2740.9092806592066,-937.5009624906965,-0.2934931099562309,-0.08473127348353282,-0.9521987217498656,47,47.707168933208926,15.70451067100601,26.482127861171218,7.497362339205986,10.154423820578039,9.626549120474264,7.02942302614975,8.0,99.66666666666667,70.94444444444444
v1-old,ID30,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID30_20260513_172838,mid,BCGF,ok,1801,493.501126057226,79.9994849400621,78.4376024517383,64.72458670901005,112.19609742360491,212.92360518306452,58.15360182659961,1451.6471879599821,2570.0220785135184,-863.627083167297,0.09145736309409996,-0.8445279751912814,-0.527643866500112,46,46.26875876867556,39.80851641320116,68.16343695702436,27.591045616590442,9.197615859446149,27.82214942082535,17.29735700477873,8.0,99.94447529150472,91.28262076624097
v1-old,ID30,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID30_20260513_172838,mid,BCGF,ok,1800,570.7128488133593,75.25747860355094,69.12858640658453,53.82558706904153,102.28126786929764,185.7357004452829,49.93289050147412,1467.4819282028348,2553.090008639791,-836.0569217373487,0.09178808008581558,-0.75976661726283,-0.6436844224052312,46,46.45636672722816,23.21047655316188,40.134625443428604,16.020879062699596,8.127302149155543,15.098884378585508,10.606353309136905,7.0,99.66666666666667,48.5
v1-old,ID31,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID31_20260513_172433,mid,CDHG,ok,1800,425.14638923890186,60.02326638918819,84.95986364933019,53.11086651555455,104.08205136158385,191.7098982255615,48.51268758871169,1504.6935105290552,2737.768576659072,-942.923692669489,-0.7477184993050644,-0.04551374662586616,0.6624541830685797,46,45.79279215736269,20.69276376402196,33.74577849756984,9.465050030419727,8.902343671102908,16.39716198320218,6.174632930761007,8.0,99.8888888888889,89.55555555555556
v1-old,ID31,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID31_20260513_172433,mid,CDHG,ok,1801,550.7682957658569,67.32421051569533,69.38448873529546,44.47512240444942,96.73989194969431,169.3650674086495,47.120186551035346,1520.1813925706008,2737.5501216980633,-896.0735846407694,0.7306873311862662,0.05537588915358205,-0.680462735896935,46,45.88024534176589,16.69820934708186,28.439782294745378,7.797335967654386,8.936722750143536,12.01511382625998,8.23469774444598,8.0,99.61132704053304,61.188228761799
v1-old,ID32,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID32_20260513_171939,mid,ADHE,ok,1800,499.8520391748332,69.66963416028503,69.04875920298296,51.16643151171419,98.18361808406455,180.4668314843321,59.795022179519776,1288.639991433678,2877.1368812730616,-922.8692899610257,-0.0211805483664545,0.8639715115527582,-0.5030950323707621,46,46.52644934495891,22.418332487485234,35.10346997811916,11.288881579967349,8.397095141787126,17.770764138694673,7.689616951875661,8.0,99.94444444444444,89.05555555555556
v1-old,ID32,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID32_20260513_171939,mid,ADHE,ok,1801,566.7629560706843,68.63692094757141,71.10564940461306,57.15861146791304,98.88881959082717,201.77947723784632,51.88447993884824,1308.6551068803547,2836.1766615584174,-938.3166563319935,-0.04274964560516208,0.7856055765898526,-0.6172490144435699,46,46.81567411152532,17.43778379226408,29.46769824749816,9.183166597772118,6.653869905521192,13.499222988546567,8.444191805164891,8.0,99.83342587451416,69.1282620766241
v1-old,ID33,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID33_20260513_171429,high,ABEF,ok,1801,457.706215513931,95.51563516585443,106.62738126421277,76.50183368923354,143.46669404978022,265.6981036758298,55.659590368142254,1177.7022380730311,2702.6821470779646,-917.434196086366,0.8163712267552526,-0.12377227040625816,0.5641085402691615,45,45.04540387061376,35.309156381259385,58.02947424816209,13.51094574213509,16.706094555312962,28.52073272597236,12.42610401931832,8.0,99.88895058300943,89.7834536368684
v1-old,ID33,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID33_20260513_171429,high,ABEF,ok,1800,553.6546274585887,73.97264346522586,89.64649889292816,65.4592928067255,116.29941977907141,214.94523381809748,48.01446976520695,1228.8961875540224,2725.1284540032084,-925.9313653106639,-0.7394623455705206,0.07557000738681507,-0.6689429074793314,45,45.00543840120379,20.382871900402982,31.52462802859087,10.393677600392556,8.908587295689957,15.411434433838517,9.04069846809263,8.0,99.8888888888889,64.88888888888889
v1-old,ID34,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID34_20260513_175039,high,BCGF,ok,1800,483.4076675701394,75.88062705575076,46.15714499292987,52.87146687733089,88.9934875997725,165.74407105651,74.44271614828838,1396.4731180512863,2548.748809975351,-828.9602732125318,-0.07800672247609035,0.9601993617358779,0.26820167219939417,44,43.92594758673125,25.613498979370206,42.35978896439094,15.290286241201988,6.459669992421011,19.894425045498444,11.243887918838471,8.0,99.8888888888889,91.11111111111111
v1-old,ID34,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID34_20260513_175039,high,BCGF,ok,1801,545.0129204588613,57.11361872226565,38.53950932435466,35.96948252861118,68.94648802612787,129.4220751989169,70.48405530676037,1413.1787532503317,2522.581507080503,-800.9419430641794,0.05884829984177728,-0.9407096609611613,-0.3340691715499493,44,43.95573588508465,14.749841810793747,25.41347756516224,9.174105375621792,4.792102300930193,10.746574525704965,8.477682950981263,8.0,99.61132704053304,61.24375347029428
v1-old,ID35,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID35_20260513_174641,high,CDHG,ok,1800,460.9095139850465,85.49595629268164,60.348585474525684,56.45589654426302,104.92538724783098,194.66271113120288,73.38610529738216,1528.4482031838222,2755.044948146332,-860.9587373529498,-0.955239365800376,-0.07594124648762185,0.2859207601892549,45,45.01228544717574,22.985092866242308,46.19791673540928,7.7324671833721785,14.478665769789297,16.459004539979993,9.646200716467508,8.0,99.72222222222223,89.22222222222223
v1-old,ID35,BSDC91,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID35_20260513_174641,high,CDHG,ok,1800,548.1309074626172,69.94134488134317,61.62372626630458,41.97317164542124,93.29791539113889,158.68273495626113,70.35675564806783,1542.7639095226382,2730.695513072285,-861.6228969453612,0.9414726260630107,0.02498137989601451,-0.33616249795673114,45,44.92248111584591,18.497282439341884,29.011357154225333,6.174403472785858,8.508533638533272,15.472788331625104,6.50146372492987,7.0,99.6111111111111,47.05555555555556
v1-old,ID36,BS2DCE,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Roto_Test/ID36_20260513_173849,high,ADHE,ok,1800,472.10727197279397,67.4895599528549,52.95082374393184,46.4930528711273,85.89544444757104,157.7589138863354,73.81709307118432,1329.8534509311994,2908.9567357489855,-846.162767432298,-0.029093257244159364,0.9599361038033664,-0.27870460885629034,44,44.012618770988105,19.646917967857433,30.1065406951371,14.335867875856504,5.766081751325149,12.49853413520453,9.359973340543997,8.0,99.94444444444444,88.22222222222223
