version,eval_set,pair,residual_mm,abs_residual_mm,measured_mm,predicted_mm,involves_G
v3-full,all1000,D-G,-5.358103716158894,5.358103716158894,3160.241095890411,3154.882992174252,True
v1-old,all1000,A-G,-5.241060381873467,5.241060381873467,4017.6255,4012.384439618127,True
v3-full,all1000,F-H,5.164978117877126,5.164978117877126,3659.487804878049,3664.652782995926,False
v3-full,all1000,C-E,4.626675566750237,4.626675566750237,3885.9282218597054,3890.5548974264566,False
v1-old,all1000,G-H,4.594086068626439,4.594086068626439,2879.6625,2884.2565860686263,True
v3-full,all1000,B-E,-4.5932976944359325,4.5932976944359325,3134.515596330275,3129.922298635839,False
v3-full,all1000,B-F,4.512129166974319,4.512129166974319,1619.7131979695432,1624.2253271365175,False
v4-io,all1000,A-B,4.280677273719448,4.280677273719448,2895.193347193348,2899.474024467067,False
v4-io,all1000,C-H,3.5483466554328515,3.5483466554328515,3346.5,3350.048346655433,False
v4-io,all1000,G-H,3.2552029685493835,3.2552029685493835,2880.0,2883.2552029685494,True
v3-full,all1000,B-D,3.222906859975865,3.222906859975865,3669.839024390244,3673.06193125022,False
v3-lite,all1000,D-G,3.0010886251593547,3.0010886251593547,3160.241095890411,3163.2421845155704,True
v3-lite,all1000,G-H,2.7937614121010483,2.7937614121010483,2880.0,2882.793761412101,True
v2,all1000,G-H,2.7110535036567853,2.7110535036567853,2879.6912647751046,2882.4023182787614,True
v2,all1000,D-G,1.96947211790166,1.96947211790166,3161.258033014853,3163.227505132755,True
v3-full,all1000,F-G,-1.769290400695354,1.769290400695354,2373.6393442622957,2371.8700538616,True
v3-full,all1000,C-G,1.6330175411476375,1.6330175411476375,1617.9904153354632,1619.6234328766109,True
v1-old,all1000,B-G,-1.535367157825931,1.535367157825931,2745.963,2744.4276328421743,True
v3-full,all1000,A-G,1.5220999331263556,1.5220999331263556,4020.659751037345,4022.1818509704713,True
v2,all1000,E-F,1.3221410821224708,1.3221410821224708,2762.1513917102525,2763.473532792375,False
v3-lite,all1000,E-F,1.2743562880946229,1.2743562880946229,2760.4705882352937,2761.7449445233883,False
v1-old,all1000,A-H,-0.8215457771689216,0.8215457771689216,2688.1415,2687.3199542228317,False
v4-io,all1000,D-G,0.6226298542710538,0.6226298542710538,3160.241095890411,3160.863725744682,True
v3-full,all1000,A-E,0.5806516867380651,0.5806516867380651,1548.9817587802886,1549.562410467027,False
v3-full,all1000,C-H,-0.1063511521333566,0.1063511521333566,3346.5,3346.393648847866,False
v3-full,all1000,E-H,-4.547473508864641e-13,4.547473508864641e-13,2332.5829694323143,2332.582969432314,False
v3-full,all1000,A-C,0.0,0.0,3717.5,3717.5,False
v3-full,all1000,B-G,0.0,0.0,2744.951219512195,2744.951219512195,True
v3-full,all1000,D-E,0.0,0.0,2792.3801916932907,2792.3801916932907,False
v3-full,all1000,E-F,0.0,0.0,2760.4705882352937,2760.4705882352937,False
v3-full,solve,D-H,-370.0316968586064,370.0316968586064,1659.383783783784,1289.3520869251774,False
v3-full,solve,B-C,-311.87794587624376,311.87794587624376,2407.1395939086296,2095.261648032386,False
v1-old,solve,B-F,-192.3260979234135,192.3260979234135,1619.525,1427.1989020765866,False
v1-old,solve,D-H,-189.90704150672784,189.90704150672784,1660.9065,1470.9994584932722,False
v1-old,solve,C-G,-167.94623894749907,167.94623894749907,1617.31,1449.3637610525009,True
v1-old,solve,B-C,-165.11546219274396,165.11546219274396,2407.464,2242.348537807256,False
v3-full,solve,C-D,159.64066823145913,159.64066823145913,2887.332975871313,3046.9736441027726,False
v3-full,solve,D-F,146.3907212181275,146.3907212181275,3848.748235294118,3995.138956512245,False
v4-io,solve,B-C,-141.72779945142702,141.72779945142702,2407.1395939086296,2265.411794457202,False
v4-io,solve,B-G,113.65432187580744,113.65432187580744,2744.951219512195,2858.6055413880026,True
v1-old,solve,A-D,-109.01736848713564,109.01736848713564,2429.3915,2320.374131512865,False
v4-io,solve,D-E,99.75186082097616,99.75186082097616,2792.3801916932907,2892.132052514267,False
v3-lite,solve,B-C,-98.89625859365152,98.89625859365152,2407.1395939086296,2308.243335314978,False
v2,solve,B-C,-98.26143377924836,98.26143377924836,2407.630214954807,2309.3687811755585,False
v3-full,solve,E-G,-96.67580893883496,96.67580893883496,3711.716981132075,3615.04117219324,True
v1-old,solve,C-D,-91.5245414689066,91.5245414689066,2887.5275,2796.0029585310936,False
v4-io,solve,D-F,91.42309610339862,91.42309610339862,3848.748235294118,3940.171331397517,False
v3-lite,solve,B-G,90.36863228795936,90.36863228795936,2744.951219512195,2835.3198518001545,True
v2,solve,B-G,89.60353889499584,89.60353889499584,2745.286345116396,2834.889884011392,True
v3-lite,solve,D-F,83.3432730650693,83.3432730650693,3848.748235294118,3932.091508359187,False
v2,solve,D-F,82.8393188641162,82.8393188641162,3850.424911156113,3933.264230020229,False
v1-old,solve,B-E,-81.74701615434242,81.74701615434242,3135.808,3054.0609838456576,False
v1-old,solve,A-E,-80.32752826372462,80.32752826372462,1551.919,1471.5914717362757,False
v1-old,solve,F-G,-76.58449570976154,76.58449570976154,2374.067,2297.4825042902385,True
v1-old,solve,B-D,-75.06737160682951,75.06737160682951,3670.1915,3595.1241283931704,False
v1-old,solve,F-H,-71.41012546776665,71.41012546776665,3659.21,3587.7998745322334,False
v2,solve,A-D,-67.7299812742599,67.7299812742599,2429.170944226669,2361.440962952409,False
v1-old,solve,C-H,-67.69249994768643,67.69249994768643,3346.326,3278.6335000523136,False
v3-lite,solve,A-D,-67.43769268234064,67.43769268234064,2428.8099547511315,2361.372262068791,False
v2,solve,C-E,67.02056182207889,67.02056182207889,3885.988851280763,3953.009413102842,False
v3-lite,solve,C-E,66.70463673429595,66.70463673429595,3885.9282218597054,3952.6328585940014,False
v3-lite,solve,B-H,65.84012338581442,65.84012338581442,3901.1882352941175,3967.028358679932,False
v1-old,solve,D-G,-65.56236210032466,65.56236210032466,3161.4735,3095.9111378996754,True
v2,solve,B-H,65.54619738203564,65.54619738203564,3901.9155248748207,3967.461722256856,False
v1-old,solve,E-H,-65.39209603158042,65.39209603158042,2333.7785,2268.3864039684195,False
v2,solve,F-G,-64.44980161425565,64.44980161425565,2373.782032571057,2309.332230956801,True
v3-lite,solve,F-G,-64.40691352520662,64.40691352520662,2373.6393442622957,2309.2324307370886,True
v2,solve,B-F,-63.72336994896364,63.72336994896364,1619.5557635214896,1555.832393572526,False
v2,solve,C-G,-63.02086964558953,63.02086964558953,1617.3873963525623,1554.366526706973,True
v3-lite,solve,B-F,-62.653236930599405,62.653236930599405,1619.7131979695432,1557.0599610389438,False
v3-lite,solve,F-H,-61.46308658246153,61.46308658246153,3659.487804878049,3598.0247182955877,False
v3-lite,solve,C-G,-61.33582480713426,61.33582480713426,1617.9904153354632,1556.654590528329,True
v2,solve,F-H,-60.318866490642,60.318866490642,3659.888622466658,3599.569755976016,False
v2,solve,D-H,-60.31869831718245,60.31869831718245,1660.837670927825,1600.5189726106423,False
v3-lite,solve,C-F,59.965332991936975,59.965332991936975,2672.0,2731.965332991937,False
v2,solve,C-F,59.45707786354205,59.45707786354205,2671.939163728852,2731.3962415923943,False
v4-io,solve,F-H,-59.25169990237964,59.25169990237964,3659.487804878049,3600.236104975669,False
v3-lite,solve,D-H,-59.007783470474806,59.007783470474806,1659.383783783784,1600.376000313309,False
v3-full,solve,B-H,-57.264783757855184,57.264783757855184,3901.1882352941175,3843.9234515362623,False
v1-old,solve,A-F,-56.361752055403485,56.361752055403485,3322.793,3266.4312479445966,False
v3-lite,solve,C-D,-56.034156525010985,56.034156525010985,2887.332975871313,2831.2988193463025,False
v2,solve,C-D,-55.06031705514943,55.06031705514943,2887.1095344437317,2832.049217388582,False
v3-lite,solve,A-H,54.320072208901365,54.320072208901365,2687.5000000000005,2741.820072208902,False
v2,solve,A-H,53.6744266055307,53.6744266055307,2688.2081516836893,2741.88257828922,False
v2,solve,E-H,-49.733745166902736,49.733745166902736,2332.94537733698,2283.2116321700773,False
v3-lite,solve,E-H,-49.55775066012348,49.55775066012348,2332.5829694323143,2283.025218772191,False
v1-old,solve,E-G,-46.956065260930245,46.956065260930245,3711.6555,3664.6994347390696,True
v1-old,solve,C-F,-44.28534868238376,44.28534868238376,2672.164,2627.8786513176165,False
v2,solve,D-E,43.97942583008944,43.97942583008944,2791.801207568829,2835.7806333989183,False
v1-old,solve,A-C,-43.50339715295559,43.50339715295559,3719.243,3675.739602847045,False
v3-lite,solve,D-E,43.40964594711022,43.40964594711022,2792.3801916932907,2835.789837640401,False
v1-old,solve,D-E,-40.684084902782615,40.684084902782615,2791.8875,2751.203415097217,False
v2,solve,A-E,-39.44720205485919,39.44720205485919,1550.5536070098913,1511.106404955032,False
v2,solve,E-G,-38.79118532498751,38.79118532498751,3712.070232104666,3673.279046779679,True
v4-io,solve,B-H,38.43620291579055,38.43620291579055,3901.1882352941175,3939.624438209908,False
v3-lite,solve,E-G,-38.19662660657377,38.19662660657377,3711.716981132075,3673.520354525501,True
v3-lite,solve,A-E,-37.29168230006712,37.29168230006712,1548.9817587802886,1511.6900764802217,False
v4-io,solve,C-E,31.37967712988302,31.37967712988302,3885.9282218597054,3917.307898989589,False
v4-io,solve,E-G,-31.34173646440468,31.34173646440468,3711.716981132075,3680.3752446676704,True
v2,solve,A-G,30.459219887626205,30.459219887626205,4017.925782128356,4048.385002015982,True
v2,solve,B-E,-29.49684491472317,29.49684491472317,3135.1403448870237,3105.6434999723,False
v3-lite,solve,B-E,-29.44977256395896,29.44977256395896,3134.515596330275,3105.065823766316,False
v3-lite,solve,A-G,28.57903070401244,28.57903070401244,4020.659751037345,4049.238781741357,True
v4-io,solve,D-H,-28.20309630010638,28.20309630010638,1659.383783783784,1631.1806874836775,False
v4-io,solve,A-D,-28.09217139710881,28.09217139710881,2428.8099547511315,2400.7177833540227,False
v4-io,solve,C-G,-27.344294845420336,27.344294845420336,1617.9904153354632,1590.646120490043,True
v4-io,solve,A-H,25.5901153907389,25.5901153907389,2687.5000000000005,2713.09011539074,False
v1-old,solve,A-B,-25.202165667179088,25.202165667179088,2895.163,2869.960834332821,False
v4-io,solve,A-G,24.0469737811909,24.0469737811909,4020.659751037345,4044.706724818536,True
v4-io,solve,E-H,-22.42630285543737,22.42630285543737,2332.5829694323143,2310.156666576877,False
v4-io,solve,B-F,-21.54308806354948,21.54308806354948,1619.7131979695432,1598.1701099059935,False
v4-io,solve,A-E,-20.20836682354343,20.20836682354343,1548.9817587802886,1528.7733919567452,False
v4-io,solve,C-F,19.563862565662475,19.563862565662475,2672.0,2691.5638625656625,False
v4-io,solve,B-D,-17.901132136090382,17.901132136090382,3669.839024390244,3651.937892254153,False
v3-lite,solve,B-D,-17.425537007950425,17.425537007950425,3669.839024390244,3652.413487382293,False
v2,solve,B-D,-17.127601842136755,17.127601842136755,3670.206850753863,3653.079248911726,False
v4-io,solve,F-G,-16.082293170339653,16.082293170339653,2373.6393442622957,2357.557051091956,True
v4-io,solve,B-E,-15.720451709107238,15.720451709107238,3134.515596330275,3118.795144621168,False
v4-io,solve,A-C,-12.849083165753656,12.849083165753656,3717.5,3704.6509168342463,False
v4-io,solve,C-D,-12.673185264021413,12.673185264021413,2887.332975871313,2874.659790607292,False
v2,solve,A-B,-11.713077961727777,11.713077961727777,2895.36225155171,2883.649173589982,False
v3-lite,solve,A-B,-11.657948634257991,11.657948634257991,2895.193347193348,2883.5353985590896,False
v4-io,solve,E-F,10.837054682966482,10.837054682966482,2760.4705882352937,2771.30764291826,False
v2,solve,A-F,-10.81030190818683,10.81030190818683,3322.7532675803945,3311.942965672208,False
v3-lite,solve,A-F,-10.212946391284731,10.212946391284731,3321.9016657710918,3311.6887193798066,False
v3-lite,solve,A-C,8.622358628343136,8.622358628343136,3717.5,3726.122358628343,False
v3-full,solve,A-F,-8.494123769336966,8.494123769336966,3321.9016657710918,3313.4075420017543,False
v1-old,solve,B-H,-8.474626015279682,8.474626015279682,3901.561,3893.086373984721,False
v4-io,solve,A-F,-7.98695330455439,7.98695330455439,3321.9016657710918,3313.914712466537,False
v2,solve,A-C,7.943206079032734,7.943206079032734,3718.9969838402935,3726.9401899193263,False
v3-full,solve,A-H,7.937214356559252,7.937214356559252,2687.5000000000005,2695.43721435656,False
v1-old,solve,E-F,-7.7712861839168,7.7712861839168,2762.9715,2755.2002138160838,False
v1-old,solve,D-F,-6.891723923775771,6.891723923775771,3852.1275,3845.235776076224,False
v3-lite,solve,C-H,6.653663350871739,6.653663350871739,3346.5,3353.153663350872,False
v3-full,solve,A-D,-6.49604313789996,6.49604313789996,2428.8099547511315,2422.3139116132315,False
v1-old,solve,C-E,-6.421819098727156,6.421819098727156,3884.774,3878.3521809012727,False
v3-full,solve,G-H,6.178315382979235,6.178315382979235,2880.0,2886.1783153829792,True
v3-full,solve,C-F,-6.023691237827734,6.023691237827734,2672.0,2665.9763087621723,False
v2,solve,C-H,5.97683192275781,5.97683192275781,3346.601655062813,3352.57848698557,False
v3-full,solve,A-B,5.854826132802373,5.854826132802373,2895.193347193348,2901.04817332615,False
v3-full,solve,D-G,-5.358103716158894,5.358103716158894,3160.241095890411,3154.882992174252,True
v1-old,solve,A-G,-5.241060381873467,5.241060381873467,4017.6255,4012.384439618127,True
v3-full,solve,F-H,5.164978117877126,5.164978117877126,3659.487804878049,3664.652782995926,False
v3-full,solve,C-E,4.626675566750237,4.626675566750237,3885.9282218597054,3890.5548974264566,False
v1-old,solve,G-H,4.594086068626439,4.594086068626439,2879.6625,2884.2565860686263,True
v3-full,solve,B-E,-4.5932976944359325,4.5932976944359325,3134.515596330275,3129.922298635839,False
v3-full,solve,B-F,4.512129166974319,4.512129166974319,1619.7131979695432,1624.2253271365175,False
v4-io,solve,A-B,4.280677273719448,4.280677273719448,2895.193347193348,2899.474024467067,False
v4-io,solve,C-H,3.5483466554328515,3.5483466554328515,3346.5,3350.048346655433,False
v4-io,solve,G-H,3.2552029685493835,3.2552029685493835,2880.0,2883.2552029685494,True
v3-full,solve,B-D,3.222906859975865,3.222906859975865,3669.839024390244,3673.06193125022,False
v3-lite,solve,D-G,3.0010886251593547,3.0010886251593547,3160.241095890411,3163.2421845155704,True
v3-lite,solve,G-H,2.7937614121010483,2.7937614121010483,2880.0,2882.793761412101,True
v2,solve,G-H,2.7110535036567853,2.7110535036567853,2879.6912647751046,2882.4023182787614,True
v2,solve,D-G,1.96947211790166,1.96947211790166,3161.258033014853,3163.227505132755,True
v3-full,solve,F-G,-1.769290400695354,1.769290400695354,2373.6393442622957,2371.8700538616,True
v3-full,solve,C-G,1.6330175411476375,1.6330175411476375,1617.9904153354632,1619.6234328766109,True
v1-old,solve,B-G,-1.535367157825931,1.535367157825931,2745.963,2744.4276328421743,True
v3-full,solve,A-G,1.5220999331263556,1.5220999331263556,4020.659751037345,4022.1818509704713,True
v2,solve,E-F,1.3221410821224708,1.3221410821224708,2762.1513917102525,2763.473532792375,False
v3-lite,solve,E-F,1.2743562880946229,1.2743562880946229,2760.4705882352937,2761.7449445233883,False
v1-old,solve,A-H,-0.8215457771689216,0.8215457771689216,2688.1415,2687.3199542228317,False
v4-io,solve,D-G,0.6226298542710538,0.6226298542710538,3160.241095890411,3160.863725744682,True
v3-full,solve,A-E,0.5806516867380651,0.5806516867380651,1548.9817587802886,1549.562410467027,False
v3-full,solve,C-H,-0.1063511521333566,0.1063511521333566,3346.5,3346.393648847866,False
v3-full,solve,E-H,-4.547473508864641e-13,4.547473508864641e-13,2332.5829694323143,2332.582969432314,False
v3-full,solve,A-C,0.0,0.0,3717.5,3717.5,False
v3-full,solve,B-G,0.0,0.0,2744.951219512195,2744.951219512195,True
v3-full,solve,D-E,0.0,0.0,2792.3801916932907,2792.3801916932907,False
v3-full,solve,E-F,0.0,0.0,2760.4705882352937,2760.4705882352937,False
