node,imu_samples,imu_batches,imu_sequence_gaps,imu_max_master_gap_ms,imu_malformed
BSF3C79,24350,2435,12230,61200,0
BSFC2CC,24360,2436,12230,61199,0
BSF44AD,24360,2436,12230,61200,0
BSF6C53,24377,2438,12210,61151,0
BSF8BC4,24360,2436,12220,61150,0
BSF1120,24350,2435,12230,61149,0
BSF31CC,24370,2437,12209,61150,0
BSFAA61,24370,2437,12220,61150,0
BSFB165,24360,2436,12220,61150,0
BSFEC35,24370,2437,12220,61151,0
