host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count,tr_version,rx_mask,air_us,post_us,cycle_us,rx_seen,imu_valid,imu_n,acc_norm_mean_mg,acc_norm_std_mg,acc_norm_min_mg,acc_norm_max_mg,imu_skip_count
1.726675,1779970821.696993,124,,BS9336,,f,0,7,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
1.79433,1779970821.764649,125,,BS9336,,f,0,0,0,0,0,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.79433,1779970821.764649,125,,BS9336,,f,0,1,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
1.79433,1779970821.764649,125,,BS9336,,f,0,2,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
1.79433,1779970821.764649,125,,BS9336,,f,0,3,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
1.79433,1779970821.764649,125,,BS9336,,f,0,4,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
1.79433,1779970821.764649,125,,BS9336,,f,0,5,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
1.79433,1779970821.764649,125,,BS9336,,f,0,6,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
1.79433,1779970821.764649,125,,BS9336,,f,0,7,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
1.899336,1779970821.869655,126,,BS9336,,f,0,0,0,0,0,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.899336,1779970821.869655,126,,BS9336,,f,0,1,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
1.899336,1779970821.869655,126,,BS9336,,f,0,2,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
1.899336,1779970821.869655,126,,BS9336,,f,0,3,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
1.899336,1779970821.869655,126,,BS9336,,f,0,4,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
1.899336,1779970821.869655,126,,BS9336,,f,0,5,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
1.899336,1779970821.869655,126,,BS9336,,f,0,6,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
1.899336,1779970821.869655,126,,BS9336,,f,0,7,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
2.009126,1779970821.979445,127,,BS9336,,f,0,0,0,0,0,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
2.009126,1779970821.979445,127,,BS9336,,f,0,1,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
2.009126,1779970821.979445,127,,BS9336,,f,0,2,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
2.009126,1779970821.979445,127,,BS9336,,f,0,3,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
2.009126,1779970821.979445,127,,BS9336,,f,0,4,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
2.009126,1779970821.979445,127,,BS9336,,f,0,5,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
2.009126,1779970821.979445,127,,BS9336,,f,0,6,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
2.009126,1779970821.979445,127,,BS9336,,f,0,7,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
2.102114,1779970822.072433,128,,BS9336,,f,0,0,0,0,0,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
2.102114,1779970822.072433,128,,BS9336,,f,0,1,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
2.102114,1779970822.072433,128,,BS9336,,f,0,2,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
2.102114,1779970822.072433,128,,BS9336,,f,0,3,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
2.102114,1779970822.072433,128,,BS9336,,f,0,4,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
2.102114,1779970822.072433,128,,BS9336,,f,0,5,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
2.102114,1779970822.072433,128,,BS9336,,f,0,6,0,0,0,0,R,0,0,0,0,2,,,,,,0,0,,,,,0
