capture_id,rank,coarse_beta_s,coarse_score_median_3d_mm,n_overlap
R01,1,37.697956000000005,107.38845371530087,2401
R01,2,41.497956,121.26074818218615,2401
R01,3,33.897956,123.2405560617567,2401
R01,4,45.247956,133.76779628204798,2401
R01,5,30.147956,133.9618038968411,2401
R02,1,46.497358,113.26249759922757,2401
R02,2,42.297358,133.2653497486092,2401
R02,3,50.747358,133.64928516647234,2401
R02,4,38.097358,135.60688779514373,2401
R02,5,33.897358,146.38316306575194,2401
R03,1,46.347582,107.4063826968167,2251
R03,2,50.597582,143.15833179976036,2208
R03,3,42.14758200000001,143.2322281495722,2293
R03,4,37.997582,176.46203426522948,2334
R03,5,54.797582000000006,176.9121933937559,2166
R04,1,47.298211,104.4544526642328,2400
R04,2,43.098211,131.55991423987035,2400
R04,3,34.648210999999996,133.68074523544516,2400
R04,4,38.898211,139.0262927170795,2400
R04,5,30.498211,141.26578262108063,2400
R05,1,48.697578,113.8465227055436,2401
R05,2,44.547578,141.66476535284252,2401
R05,3,40.347578,153.6214689475206,2401
R05,4,36.147577999999996,168.32085292045252,2401
R05,5,31.947578000000004,182.26295580316048,2401
R06,1,45.498791,117.39903778975713,2401
R06,2,30.448791000000003,173.98853776542097,2401
R06,3,40.498791,176.38379803935265,2401
R06,4,35.398790999999996,183.00786097064608,2401
R06,5,25.448791000000003,205.18295428548544,2401
R07,1,45.249804,101.25782509672808,2401
R07,2,9.649804,139.3293474415486,2401
R07,3,40.149804,141.4425411291308,2401
R07,4,14.749804,142.36658967719694,2401
R07,5,4.499804,142.3834895340389,2401
R08,1,44.847477000000005,95.03493331667734,2401
R08,2,39.79747700000001,147.61907248456117,2401
R08,3,34.747477,147.9326000480053,2401
R08,4,29.747477,149.82523980110804,2401
R08,5,9.597477000000001,155.31434417866035,2401
R09,1,44.947439,122.82369709047705,2400
R09,2,39.897439000000006,180.82587484912978,2400
R09,3,49.997439,182.21859500096656,2400
R09,4,14.647439,208.30781796689757,2400
R09,5,55.047439000000004,215.01200421438773,2400
R10,1,45.335709,90.30511619606978,2400
R10,2,40.135709000000006,118.3138416717027,2400
R10,3,34.935709,122.42228878582952,2400
R10,4,19.285709,127.54304277611207,2400
R10,5,14.085709000000001,130.21942948729946,2400
R11,1,45.497481,93.30059934135784,2401
R11,2,40.297481000000005,103.57154481607174,2401
R11,3,35.097481,109.89590357108936,2401
R11,4,29.947481000000003,113.31988743967159,2401
R11,5,4.047480999999999,114.10218680547301,2401
R12,1,46.949825000000004,103.9162055290518,2400
R12,2,41.749825,118.21882040916066,2400
R12,3,36.599825,126.27905307193166,2400
R12,4,31.449825000000004,139.07978536293842,2400
R12,5,26.249825,149.10800506697296,2400
R13,1,44.948564000000005,100.2080360630931,2401
R13,2,39.698564000000005,111.06771573741781,2401
R13,3,34.448564000000005,113.49300554693863,2401
R13,4,50.098564,113.53924874522754,2401
R13,5,29.298564,117.02616796475743,2401
R14,1,45.598682000000004,86.62983487587202,2401
R14,2,40.29868200000001,97.20191333138128,2401
R14,3,50.89868200000001,97.76342305174316,2401
R14,4,34.998682,106.32301260184029,2401
R14,5,29.698682,113.94709889372902,2401
R15,1,43.64745200000001,93.09666896463347,2400
R15,2,38.347452000000004,104.90424972166677,2400
R15,3,32.997452,110.58542897115112,2400
R15,4,27.597452,122.2089916222397,2400
R15,5,22.247452,132.51089495910492,2400
R16,1,44.499039,102.52571434634075,2401
R16,2,39.249039,108.60491721989412,2401
R16,3,33.949039000000006,111.30676559261796,2401
R16,4,28.649039000000002,118.33697356476998,2401
R16,5,23.399039000000002,120.42925337512195,2401
R17,1,45.54838,100.44378170626767,2401
R17,2,40.24838,111.4664905660447,2401
R17,3,34.94838,121.90335508886616,2401
R17,4,29.648380000000003,132.61184985574764,2401
R17,5,24.398380000000003,146.11886303777845,2401
