version,ID,peer,path,tilt,facing,status,N_frames,radius,radial_std,z_plane_std,circle_thickness_std_diagnostic,circle_thickness_rms_diagnostic,circle_thickness_p95_diagnostic,plane_tilt_deg,center_x,center_y,center_z,normal_x,normal_y,normal_z,turn_count,estimated_turns,turn_center_rms_3d_mm,turn_center_p95_3d_mm,turn_center_x_std_mm,turn_center_y_std_mm,turn_center_z_std_mm,turn_radius_std_mm,median_anchors,pct_ge7,pct_ge8
v1-old,ID25,BS2DCE,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID25_roto_R01_BS2DCE_BSDC91_120s_20260528_125256,planar,none,ok,1201,528.5667725704978,56.00716285660598,134.2857463505161,84.59081025834158,145.46709982048466,272.36360410651656,6.942647281006628,1580.215769762147,1068.9044382702195,-1012.0146054157303,0.035217650258218006,0.1156315875782068,-0.992667644815944,31,31.54211482665028,24.083264466754603,41.65403937344659,10.173153902309625,8.560534269326215,20.556295248052685,7.172774586284398,8.0,99.91673605328893,95.42048293089093
v1-old,ID25,BSDC91,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID25_roto_R01_BS2DCE_BSDC91_120s_20260528_125256,planar,none,ok,1200,632.0461077185093,57.742608690161106,116.30473599670404,81.11484927695868,129.82266466003676,288.62885465789395,1.0777218459481044,1576.3193357893454,1061.5968960671107,-891.6324964533792,-0.0010697562500354384,0.01877823929075899,0.9998231010287293,31,31.504095410401458,21.54271470135255,31.306520864705597,11.993673379533673,10.227392801553098,15.20231596199974,7.157585317924053,8.0,99.66666666666667,94.16666666666667
v1-old,ID26,BS2DCE,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID26_roto_R02_BS2DCE_BSDC91_120s_20260528_125658,small,BCGF,ok,1201,551.3206652129446,84.26074203131705,144.66025358245471,80.30198179410988,167.4664358965216,308.0370321161824,35.24254955321823,1599.4315075732295,1003.4429627760233,-956.4433284022361,0.12294531752276229,-0.5637893655477934,-0.8167165972321387,28,28.381848718996856,45.698692063369634,62.2319706280989,24.505332884901154,20.587849476233355,33.78382193275295,15.814520620696022,8.0,99.83347210657784,91.59034138218152
v1-old,ID26,BSDC91,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID26_roto_R02_BS2DCE_BSDC91_120s_20260528_125658,small,BCGF,ok,1200,634.4794473170632,57.37161519535201,111.38892094421445,70.37183539838968,125.27033138415727,235.35433104015763,26.896799228190382,1595.3064984489433,1053.6447346714094,-889.1156689617179,0.09405968835567863,-0.44249843279208045,-0.8918228030292703,28,28.3891060106087,11.674360212888802,18.57409156151324,6.230266585149404,5.57861879540205,8.449927821769162,5.63680119658284,8.0,100.0,95.0
v1-old,ID27,BS2DCE,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID27_roto_R03_BS2DCE_BSDC91_120s_20260528_130023,small,CDHG,ok,1200,576.8282675553555,77.40954544805699,91.8665327283261,59.49528391550791,120.19505080403019,203.78961957228904,38.52464200282911,1681.210526777259,1123.6870326230642,-895.8966552769023,0.5963224512858518,0.17984190149960155,-0.7823403508431868,29,28.722198897439462,25.84322469022785,36.70195820308929,11.918516996081973,12.485497514342498,19.84404564655815,7.404429710788574,8.0,100.0,95.33333333333334
v1-old,ID27,BSDC91,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID27_roto_R03_BS2DCE_BSDC91_120s_20260528_130023,small,CDHG,ok,1200,637.2060206569965,59.119187829642414,69.77430764705609,45.29408915581862,91.45547562853561,166.8286895435693,31.473965548352414,1624.668933290429,1122.9574893365022,-885.5045807966302,-0.5179234120318461,-0.06599485962494711,0.8528774928278826,29,28.70555894838762,15.51197258255407,24.06200456228058,9.602444303827754,8.872920612754648,8.84755639795789,6.105736955065013,8.0,100.0,94.0
v1-old,ID28,BS2DCE,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID28_roto_R04_BS2DCE_BSDC91_120s_20260528_130347,small,ADHE,ok,1200,539.532619349569,61.8268732232585,122.86870952129675,70.29322131999784,137.5359118926417,261.49251368329595,27.057588080600574,1572.5837519490408,1210.0679333656117,-966.5235623289501,-0.016616500059133864,-0.4545822294352204,0.8905497676196932,28,28.574551942984932,26.98064938284602,48.773863390706126,13.775527252967972,7.146204704507661,22.673406470536253,7.422892458528625,8.0,99.75,91.91666666666667
v1-old,ID28,BSDC91,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID28_roto_R04_BS2DCE_BSDC91_120s_20260528_130347,small,ADHE,ok,1200,630.0102211472191,64.00660931223628,97.28155213496441,71.56034902795058,116.44678961914077,224.38328258411312,21.6938851709019,1569.390977720949,1183.8050478805415,-901.34127877783,-0.01571486518058267,0.369313399626457,-0.9291720270588785,28,28.556165369913558,19.777265881285043,32.097895753001836,9.962563581126025,11.948185867460262,12.791211939288575,6.246799024526702,8.0,99.91666666666667,92.66666666666666
v1-old,ID29,BS2DCE,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID29_roto_R05_BS2DCE_BSDC91_120s_20260528_130811,mid,ABEF,ok,1200,567.5601092444185,94.8932746178735,109.34540352917132,82.76333637375824,144.93930254135947,303.5629407502852,29.947381854408487,1467.2811378693775,1141.6596296810833,-958.7318241317969,-0.4985502123783285,-0.02554965528493769,-0.8664842184669865,29,28.829969358561954,44.640098329502464,67.43490458524091,10.769268909538654,23.224486560623138,37.53070313535079,16.149690637251176,8.0,100.0,96.91666666666666
v1-old,ID29,BSDC91,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID29_roto_R05_BS2DCE_BSDC91_120s_20260528_130811,mid,ABEF,ok,1201,655.0546054334189,56.023629181015465,71.81198826044383,47.34358454528966,91.07388407086304,160.8357193120093,25.419036637017097,1510.104520772597,1118.4846451174813,-906.1548281920356,-0.4247860551358627,-0.061641728019999675,-0.9031927284521398,29,28.837002972578073,15.343852818155433,22.0837362314999,9.556662386027723,8.655372584558796,8.808910230933186,5.662018279389974,8.0,99.83347210657784,93.67194004995837
v1-old,ID30,BS2DCE,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID30_roto_R06_BS2DCE_BSDC91_120s_20260528_131147,mid,BCGF,ok,1200,576.9628101646059,71.0913948232547,111.57440705733696,66.76029349455703,132.3160857386022,230.44619609825895,62.855246613204656,1668.106229968647,954.4124873174067,-844.7319505220144,-0.07652981454926706,-0.8865597279971095,-0.45624010803385784,24,23.70913320509537,21.52610590304508,38.8562196341871,9.457034936382547,12.682837082163575,15.271870596457129,6.445368094934976,8.0,99.83333333333333,96.0
v1-old,ID30,BSDC91,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID30_roto_R06_BS2DCE_BSDC91_120s_20260528_131147,mid,BCGF,ok,1201,642.1080336103529,63.63206260076251,78.19863891737937,49.91069997938732,100.82448565984691,169.66710754157504,53.590477354534606,1651.806031047076,981.6268438110927,-844.7371513766909,-0.034945326003307006,-0.8040361138246985,-0.593552652977138,24,23.85015508112465,18.1641115311339,27.326755379981055,8.488908772282569,6.3156754297125905,15.242395388016279,8.68347870013321,8.0,99.83347210657784,95.33721898417986
v1-old,ID31,BS2DCE,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID31_roto_R07_BS2DCE_BSDC91_120s_20260528_131506,mid,CDHG,ok,1200,569.4114834298305,64.98590275153506,79.1632569935499,54.19973791506283,102.44543066659215,196.22588936528888,58.213917832490566,1773.6986773335086,1187.8447766579425,-893.2929068284845,0.8468514857465623,0.07333282739075242,-0.5267493308165829,23,23.43049038670468,18.54904664661027,34.397790998118666,9.78846063407781,10.17180691173211,12.665975253874779,7.896186507736958,8.0,100.0,96.5
v1-old,ID31,BSDC91,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID31_roto_R07_BS2DCE_BSDC91_120s_20260528_131506,mid,CDHG,ok,1201,639.5857253578151,46.97665051699642,55.47267147455191,34.335376962720694,72.6815150346638,122.21970907675419,53.54788891620094,1730.3174760159413,1160.916275795682,-870.8935078961588,-0.8042554340331073,0.01257547233944245,0.5941507000110817,23,23.454373815537274,12.695708245347479,21.916889892386944,6.83530345134863,7.448418808810812,8.14291724600532,4.842791644931625,8.0,100.0,95.1706910907577
v1-old,ID32,BS2DCE,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID32_roto_R08_BS2DCE_BSDC91_120s_20260528_131827,mid,ADHE,ok,1201,551.8496766411886,87.54516070398267,89.69187998744859,66.21150817347738,125.47694363604201,242.35421453835235,54.08764187579654,1520.8332208623158,1297.9492283307243,-897.0668950312697,0.06310736909501362,-0.8074527882589816,0.5865470609411508,24,23.754838021411846,18.158081409587187,25.94533447587847,11.56598661177346,9.580448289397456,10.88551145105321,9.031452658897685,8.0,99.91673605328893,95.33721898417986
v1-old,ID32,BSDC91,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID32_roto_R08_BS2DCE_BSDC91_120s_20260528_131827,mid,ADHE,ok,1200,631.5991184760853,53.85307969875247,71.4298769454045,47.82569413101901,89.4482775414762,173.46802844753336,48.2910111393084,1553.652580523435,1264.5241750293503,-885.015279694029,-0.04535723926339175,0.7451546468797416,-0.6653474829590411,24,23.771578375102216,16.361360589330975,32.67600959241142,6.937396751253868,7.947850151253765,12.962916316174999,4.59523685753318,8.0,99.91666666666667,91.5
v1-old,ID33,BS2DCE,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID33_roto_R09_BS2DCE_BSDC91_120s_20260528_132144,high,ABEF,ok,1200,593.5973234054262,78.44511015957437,117.32507164780328,74.63234196200423,141.1710579800147,290.0687704559613,54.996601287821626,1389.4333743000025,1062.8149445260658,-897.6005607054497,-0.8163629224895781,-0.06712605963663831,-0.5736250263908764,24,23.844987077725058,18.727983960559854,29.09673808483795,7.4484160968836335,11.556183339849216,13.302727499844343,7.446618177282961,8.0,99.91666666666667,96.25
v1-old,ID33,BSDC91,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID33_roto_R09_BS2DCE_BSDC91_120s_20260528_132144,high,ABEF,ok,1200,666.4877335024498,59.563044054512716,68.55568256785213,43.44561892091396,90.81775765476291,160.32948713064158,48.92390502803624,1448.9782562209086,1066.3838511105985,-864.5004834166537,0.7505944906459098,0.06985008521326985,0.6570607857783829,24,23.732936372904263,12.933241643396837,17.6219266757423,6.523553550593342,7.55079680129446,8.658522393101222,6.886070275904244,8.0,99.33333333333333,92.91666666666667
v1-old,ID34,BS2DCE,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Roto_Test/ID34_roto_R10_BS2DCE_BSDC91_120s_20260528_132554,high,BCGF,ok,1200,574.2783228262948,73.8498584488258,68.33194637052343,49.2162006589055,100.6842500867282,177.2927958866672,80.0481257463059,1666.4417455833932,928.6185009427481,-757.7127774556109,-0.08733871758119266,0.9810733287829186,0.17282092454930365,23,22.899558412618394,19.53942344202184,29.850961143856768,8.588973495863907,11.453815166595826,13.934947772747318,9.97420355473678,8.0,100.0,95.16666666666667
