session_id,capture,anchor_id,anchor,range_column,n_rows,duration_s,median_range_mm,mean_range_mm,std_range_mm,mad_range_mm,p95_abs_residual_mm,max_abs_residual_mm,slope_mm_per_min,slope_ci95_low_mm_per_min,slope_ci95_high_mm_per_min,slope_se_mm_per_min,drift_over_capture_mm,r2,location,height,facing,source_tr_all
ID01,static_ID01_BSF66F_120s_20260528_110629,0,A,range_mm,1199,119.993348,1514.0,1512.8190158465388,24.844600026786335,28.1694,46.0,73.0,-1.0414919945203425,-3.4773168916438992,1.3943329026032145,1.242767804654876,-2.0828685222948926,0.0005863851933691766,edge,low,ABEF,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv
ID01,static_ID01_BSF66F_120s_20260528_110629,1,B,range_mm,1199,119.993348,1768.0,1768.3227689741452,21.285267812755425,20.7564,43.0,87.0,-1.48985206697617,-3.576570991568349,0.5968668576160092,1.06465251254703,-2.9795389590198478,0.0016333018899916674,edge,low,ABEF,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv
ID01,static_ID01_BSF66F_120s_20260528_110629,2,C,range_mm,1197,119.993348,2177.0,2177.8345864661655,27.90222288405704,31.1346,52.0,95.0,-4.839665767682495,-7.565952543610334,-2.1133789917546553,1.39096264077951,-9.678794977753546,0.010028925576121561,edge,low,ABEF,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv
ID01,static_ID01_BSF66F_120s_20260528_110629,3,D,range_mm,1198,119.993348,2111.0,2110.4373956594322,22.378680616581175,22.238999999999997,44.0,69.0,2.090468301279144,-0.10037540542986667,4.281312007988154,1.1177774013821482,4.180704839305952,0.002915930180971471,edge,low,ABEF,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv
ID01,static_ID01_BSF66F_120s_20260528_110629,4,E,range_mm,1201,119.993348,2314.0,2315.767693588676,22.90330444057042,20.7564,45.0,114.0,1.2481713392329652,-0.9945208759135309,3.4908635543794615,1.1442307220135184,2.4962042978701207,0.0009914509318540432,edge,low,ABEF,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv
ID01,static_ID01_BSF66F_120s_20260528_110629,5,F,range_mm,1192,119.993348,2407.5,2415.3439597315437,63.60196970820542,40.771499999999996,83.95000000000005,477.5,-6.361833474877477,-12.612323724186904,-0.11134322556804932,3.1890256374027692,-12.722961634483704,0.0033331252646661147,edge,low,ABEF,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv
ID01,static_ID01_BSF66F_120s_20260528_110629,6,G,range_mm,1141,119.993348,2769.0,2798.413672217353,118.35534793366561,25.2042,431.0,570.0,-25.191851482382965,-36.92426076533147,-13.459442199434463,5.985923103545154,-50.38091002816492,0.015312031537425552,edge,low,ABEF,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv
ID01,static_ID01_BSF66F_120s_20260528_110629,7,H,range_mm,1179,119.993348,2472.0,2458.2926208651397,143.9415288820324,41.5128,98.0,1743.0,-23.917076629434533,-38.134107045629015,-9.70004621324005,7.253586947038001,-47.83150165230675,0.009152524329945733,edge,low,ABEF,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv
ID02,static_ID02_BSF66F_120s_20260528_111027,0,A,range_mm,1200,119.982309,1874.0,1873.7616666666668,17.803834714902166,17.7912,35.0,61.0,0.0653381876055074,-1.6808274399597358,1.8115038151707508,0.8909008303904302,0.1306571102463993,4.489693271603201e-06,edge,mid,ABEF,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID02_BSF66F_120s_20260528_111027/tag_capture_20260528_111027/tr_all.csv
ID02,static_ID02_BSF66F_120s_20260528_111027,1,B,range_mm,1201,119.982309,1830.0,1830.9450457951707,19.744082325168094,20.7564,38.0,85.0,3.1175280616134913,1.1913120932133028,5.04374403001368,0.9827632491837697,6.234136920078016,0.008322887695500825,edge,mid,ABEF,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID02_BSF66F_120s_20260528_111027/tag_capture_20260528_111027/tr_all.csv
