pair,obs_mm,pred_mm,residual_mm
AB,3006.486131386861,2981.249279230582,-25.23685215627893
AC,5535.260273972603,5540.931178395095,5.67090442249264
AD,4672.607634652258,4675.821884941693,3.214250289434858
AE,1459.711513583441,1455.0415948276984,-4.6699187557426285
AF,3195.640533582963,3210.2351133958437,14.59457981288051
AG,5761.613793103448,5779.749576506703,18.135783403255118
AH,4860.33524948264,4836.499349158012,-23.83590032462871
BC,4570.5,4564.3177366960945,-6.182263303905529
BD,5435.75088715401,5454.10132429408,18.350437140069516
BE,3214.52700729927,3225.403666541702,10.876659242432197
BF,1439.1965317919075,1438.3234524197874,-0.8730793721201735
BG,5004.715923566879,4984.942732795356,-19.773190771522422
BH,5659.000000000001,5670.4500126512485,11.450012651247562
CD,3121.7760252365933,3032.84006885847,-88.93595637812314
CE,5671.238894373149,5756.785875547372,85.54698117422231
CF,4802.762264150943,4777.287668847084,-25.474595303859132
CG,1735.331681205393,1728.5470731341377,-6.784608071255207
CH,3454.4298642533936,3469.0301567848373,14.600292531443756
DE,5094.889391979302,5016.291359024023,-78.59803295527854
DF,5592.598503740649,5606.01839392562,13.419890184971337
DG,3277.6376470588234,3293.558442807894,15.920795749070749
DH,1522.3414287967196,1519.778710728867,-2.562718067852529
EF,2790.9452054794524,2780.880862378814,-10.064343100638325
EG,5604.619808306709,5575.130938323923,-29.488869982786127
EH,4569.644412191582,4732.968990904525,163.32457871294264
FG,4657.460063897764,4693.803154324911,36.34309042714722
FH,5457.486131386861,5437.226812088285,-20.259319298575974
GH,2940.8140293637844,2931.8002586827297,-9.013770681054666
