experiment,layout_solver,layout_variant,delay_mode,scale_mode,scale_factor,scale_source,alignment_frame,tag_method,ID,capture,location,height,facing,frames_input,frames_solved,solve_fraction,point_estimator,solved_x_mm,solved_y_vertical_mm,solved_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_3d_mm,err_horizontal_xz_mm,err_vertical_y_mm,tag_truth_source,tag_truth_corrected,d3_std_mm,d3_p95_mm,residual_rms_median_mm,residual_rms_p95_mm,anchors_input_median,anchors_used_median,pct_frames_ge8_anchors_input
scale_to_vicon,v1-old,vicon_truth,vicon_inter_anchor_delaycal,none_truth_anchor,1.0,none_truth_anchor,OptiTrack,T1,ID01,static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,1201,1201,1.0,median,-447.1280636290699,90.21953446589087,-319.0332580007871,-542.215344349341,182.54280058407934,-383.3240609304319,95.08728072027105,-92.32326611818847,64.29080292964483,147.30405209241158,114.78195980254937,92.32326611818847,reconstructed_from_relabelled_balls,True,42.88554331359987,74.47555289721565,95.46871615489206,183.38980619654723,8.0,8.0,91.75686927560366
scale_to_vicon,v1-old,vicon_truth,vicon_inter_anchor_delaycal,none_truth_anchor,1.0,none_truth_anchor,OptiTrack,T1,ID02,static_ID02_BSF66F_120s_20260528_111027,edge,mid,ABEF,1201,1201,1.0,median,-530.4392187936244,1071.9443554406735,-204.85580980267505,-543.22998,1105.589,-259.92136,12.790761206375578,-33.64464455932648,55.06555019732494,65.78586853037703,56.531569859439024,33.64464455932648,motive_iantenna,False,73.03950336841487,140.25423454145823,80.64116757845376,120.07946168049726,8.0,8.0,95.67027477102414
scale_to_vicon,v1-old,vicon_truth,vicon_inter_anchor_delaycal,none_truth_anchor,1.0,none_truth_anchor,OptiTrack,T1,ID03,static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,1201,1201,1.0,median,-517.7232700000407,1693.8483569732578,-277.2866724691677,-554.00287,1625.5614500000001,-256.2951,36.27959999995937,68.2869069732576,-20.991572469167693,80.1246351308991,41.914860024642465,68.2869069732576,motive_iantenna,False,64.59989587453958,161.51392776087886,153.309657948104,182.86613499530168,8.0,8.0,92.2564529558701
scale_to_vicon,v1-old,vicon_truth,vicon_inter_anchor_delaycal,none_truth_anchor,1.0,none_truth_anchor,OptiTrack,T1,ID04,static_ID04_BSF66F_120s_20260528_111732,edge,low,BCGF,1201,1201,1.0,median,-256.34896909388016,108.26787250165549,501.0358869741491,-321.178815,182.16379,479.93381999999997,64.82984590611983,-73.89591749834452,21.102066974149125,100.54259183905523,68.17775407559799,73.89591749834452,motive_iantenna,False,72.51904395600891,198.3032321668926,88.41737324132485,126.484038900002,8.0,8.0,93.83846794338052
scale_to_vicon,v1-old,vicon_truth,vicon_inter_anchor_delaycal,none_truth_anchor,1.0,none_truth_anchor,OptiTrack,T1,ID05,static_ID05_BSF66F_120s_20260528_112057,edge,mid,BCGF,1200,1200,1.0,median,-174.67683346129886,1110.9543276490417,492.1105060146184,-184.9818897969324,1103.5866165595767,473.70402893394925,10.305056335633537,7.367711089465047,18.406477080669163,22.344479212986958,21.094847347202588,7.367711089465047,reconstructed_from_relabelled_balls,True,60.014494078597316,113.29208119644626,143.37012408379138,190.25311875226214,8.0,8.0,91.5
scale_to_vicon,v1-old,vicon_truth,vicon_inter_anchor_delaycal,none_truth_anchor,1.0,none_truth_anchor,OptiTrack,T1,ID06,static_ID06_BSF66F_120s_20260528_112429,edge,high,BCGF,1201,1201,1.0,median,-200.75569420721794,1674.028803316645,479.36654496982044,-193.231255,1684.95255,476.52297999999996,-7.524439207217938,-10.92374668335492,2.843564969820477,13.565813234849442,8.043820430660336,10.92374668335492,motive_iantenna,False,60.98996973449433,117.4512896998692,72.96586782714475,130.31062813468458,8.0,8.0,92.83930058284763
scale_to_vicon,v1-old,vicon_truth,vicon_inter_anchor_delaycal,none_truth_anchor,1.0,none_truth_anchor,OptiTrack,T1,ID07,static_ID07_BSF66F_120s_20260528_112810,edge,low,CDHG,1201,1201,1.0,median,276.28846411082736,138.31798020532545,34.28850075191807,352.14755,211.565355,53.795866000000004,-75.85908588917266,-73.24737479467456,-19.507365248081932,107.23952687873289,78.32712308557585,73.24737479467456,motive_iantenna,False,83.0050887593413,155.30720698730616,120.92105933536114,196.4715735431012,8.0,8.0,90.84096586178185
scale_to_vicon,v1-old,vicon_truth,vicon_inter_anchor_delaycal,none_truth_anchor,1.0,none_truth_anchor,OptiTrack,T1,ID08,static_ID08_BSF66F_120s_20260528_113136,edge,mid,CDHG,1201,1201,1.0,median,408.1979280338694,1249.9448885659165,-127.99981862704013,391.90054,1132.2804,-71.53192899999999,16.297388033869424,117.66448856591637,-56.46788962704014,131.52626842245908,58.772675757175605,117.66448856591637,motive_iantenna,False,60.00153484301198,126.78897554890862,119.71508290985535,144.867890561064,8.0,8.0,90.25811823480433
scale_to_vicon,v1-old,vicon_truth,vicon_inter_anchor_delaycal,none_truth_anchor,1.0,none_truth_anchor,OptiTrack,T1,ID09,static_ID09_BSF66F_120s_20260528_113816,edge,high,CDHG,1201,1201,1.0,median,452.9144435407665,1451.9471221794488,-66.29515111327323,408.80994,1568.1853500000002,-62.425788499999996,44.10450354076653,-116.2382278205514,-3.869362613273239,124.38450388401641,44.273911049403395,116.2382278205514,motive_iantenna,False,73.8610547267731,154.12439925052274,119.5581303383947,171.81359530918144,8.0,8.0,93.42214820982515
scale_to_vicon,v1-old,vicon_truth,vicon_inter_anchor_delaycal,none_truth_anchor,1.0,none_truth_anchor,OptiTrack,T1,ID10,static_ID10_BSF66F_120s_20260528_114216,edge,low,ADHE,1201,1201,1.0,median,73.05041576664627,235.6521340598867,-941.0756415212244,65.499245,238.64973,-938.19342,7.5511707666462655,-2.997595940113314,-2.8822215212244373,8.620496636774837,8.082535545511845,2.997595940113314,motive_iantenna,False,46.56218243560187,87.12348506377715,63.64311136000235,127.25482159387326,8.0,8.0,90.75770191507078
