mode,time_s,from_state,to_state,reason,evidence
S2R,646.058459596,MOTION_SUSPECTED,MOVING,MULTISCALE_IMU_SPATIAL_AGREEMENT,"{""angle"":true,""fast"":true,""gravity"":true,""pos_shift_norm"":1.31217709985,""range_shift_norm"":0.676669495701}"
S2R,668.557746844,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":2.06790014988,""speed_mps"":0.926082774673}"
S2R,668.60774526,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{""quiet"":true,""stable"":true}"
S2R,671.607650227,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":2.15569219924,""speed_mps"":0.713966457884}"
S2R,672.057635972,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{""quiet"":false,""stable"":false}"
S2R,691.157030924,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":2.13762133857,""speed_mps"":0.553885777134}"
S2R,691.957005582,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{""quiet"":false,""stable"":true}"
S2R,708.956467058,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":2.08832534083,""speed_mps"":0.175862046139}"
S2R,709.006465474,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{""quiet"":true,""stable"":true}"
S2R,758.84139976,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":1.08286927353,""speed_mps"":0.333703570884}"
S2R,761.341320565,SETTLING,STATIONARY,SETTLED_ROBUST_PLATFORM,"{""anchor_support"":8}"
S2R,846.088635866,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{""angle"":true,""fast"":true,""gravity"":true,""spatial"":false}"
S2R,847.288597852,MOTION_SUSPECTED,MOVING,MULTISCALE_IMU_SPATIAL_AGREEMENT,"{""angle"":true,""fast"":true,""gravity"":true,""pos_shift_norm"":0.520177254394,""range_shift_norm"":0.70406660251}"
S2R,855.238346013,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":1.02205859202,""speed_mps"":0.443162273448}"
S2R,856.788296912,SETTLING,STATIONARY,SETTLED_ROBUST_PLATFORM,"{""anchor_support"":8}"
S2R,858.188252563,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{""angle"":true,""fast"":true,""gravity"":true,""spatial"":false}"
S2R,858.638238308,MOTION_SUSPECTED,MOVING,MULTISCALE_IMU_SPATIAL_AGREEMENT,"{""angle"":true,""fast"":true,""gravity"":true,""pos_shift_norm"":1.02850055556,""range_shift_norm"":0.325}"
S2R,953.685227327,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":2.1835543057,""speed_mps"":14.5832807583}"
S2R,955.285176642,SETTLING,STATIONARY,SETTLED_ROBUST_PLATFORM,"{""anchor_support"":8}"
S2R,1079.03125651,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{""angle"":true,""fast"":true,""gravity"":true,""spatial"":false}"
S2R,1079.331247,MOTION_SUSPECTED,MOVING,MULTISCALE_IMU_SPATIAL_AGREEMENT,"{""angle"":true,""fast"":true,""gravity"":true,""pos_shift_norm"":4.57167995736,""range_shift_norm"":1.07932176188}"
S2R,1178.9780903,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":1.15039851098,""speed_mps"":0.200414932429}"
S2R,1179.02808872,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{""quiet"":true,""stable"":true}"
S2R,1179.82806338,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":1.03989893115,""speed_mps"":0.31959745618}"
S2R,1181.37801428,SETTLING,STATIONARY,SETTLED_ROBUST_PLATFORM,"{""anchor_support"":8}"
S2R,1305.52408147,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{""angle"":true,""fast"":true,""gravity"":true,""spatial"":false}"
S2R,1306.8740387,MOTION_SUSPECTED,MOVING,MULTISCALE_IMU_SPATIAL_AGREEMENT,"{""angle"":true,""fast"":true,""gravity"":true,""pos_shift_norm"":1.84109556028,""range_shift_norm"":0.571726869412}"
S2R,1505.96773164,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":1.82872412697,""speed_mps"":13.0934688393}"
S2R,1506.01773006,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{""quiet"":true,""stable"":true}"
S2R,1506.81770471,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":1.38721294379,""speed_mps"":13.0934688393}"
S2R,1508.36765561,SETTLING,STATIONARY,SETTLED_ROBUST_PLATFORM,"{""anchor_support"":8}"
S2R,1578.1654445,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{""angle"":true,""fast"":true,""gravity"":true,""spatial"":false}"
S2R,1578.81542391,MOTION_SUSPECTED,MOVING,MULTISCALE_IMU_SPATIAL_AGREEMENT,"{""angle"":true,""fast"":true,""gravity"":true,""pos_shift_norm"":3.03166169623,""range_shift_norm"":0.373796891492}"
S2R,1588.91510396,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":1.41315200626,""speed_mps"":0.130919940785}"
S2R,1590.46505486,SETTLING,STATIONARY,SETTLED_ROBUST_PLATFORM,"{""anchor_support"":8}"
S2R,1591.26502952,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{""angle"":true,""fast"":true,""gravity"":true,""spatial"":false}"
S2R,1591.91500893,MOTION_SUSPECTED,MOVING,MULTISCALE_IMU_SPATIAL_AGREEMENT,"{""angle"":true,""fast"":true,""gravity"":true,""pos_shift_norm"":3.85589484997,""range_shift_norm"":0.686221277372}"
S2R,1605.76457019,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":0.846519354356,""speed_mps"":5.5306857474}"
S2R,1605.8145686,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{""quiet"":true,""stable"":true}"
S2R,1606.61454326,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":1.06827505448,""speed_mps"":5.5306857474}"
S2R,1606.66454168,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{""quiet"":true,""stable"":true}"
S2R,1607.46451634,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":0.919859675108,""speed_mps"":5.5306857474}"
S2R,1607.51451475,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{""quiet"":true,""stable"":true}"
S2R,1608.9144704,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":0.896220734244,""speed_mps"":5.5306857474}"
S2R,1608.96446882,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{""quiet"":true,""stable"":true}"
S2R,1609.81444189,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":0.831691275316,""speed_mps"":5.5306857474}"
S2R,1609.86444031,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{""quiet"":true,""stable"":true}"
S2R,1610.66441497,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{""scatter_norm"":0.74891552261,""speed_mps"":4.68381524363}"
S2R,1612.21436587,SETTLING,STATIONARY,SETTLED_ROBUST_PLATFORM,"{""anchor_support"":8}"
