experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,L,I,T,kind,seed_id,experiment_uid,verdict,screening_score,rank,U,P,R
X_A0_L2_I0_T11,imu_only_diagnostic_screening,Phase4 L2 single-I T11.,34,17,40661,9696.09333282967,42971.7347864002,53375.52649911085,23978.185811846884,40661,7192.572796552836,36523.57064034454,47596.96709273679,20700.642427334085,40661,3530.9781659791115,21216.746436951868,27320.205415610802,12101.107301528707,12316.475149307887,47134.7741509745,22631.314806629183,35196.92789568881,19728.95128174276,56914.437366229875,56772.62998512825,5477.763912719173,51645.12297142209,495.0325216538155,923.0907401421475,52530.703261532064,38799.035225821484,438.18166911260647,nan,nan,nan,nan,nan,17,140151.55671113907,54760.973174131956,310507.1703641947,A0,L2,I0,T11,imu_only,S03,X_A0_L2_I0_T11__S03,IMU_ONLY_DRIFTS_AS_EXPECTED,152742.29728565735,1372,,,
X_A0_L2_I0_T12,imu_only_diagnostic_screening,Phase4 L2 single-I T12.,34,17,40661,9696.44195050071,42969.088707951516,53376.867661209224,23978.16922880224,40661,7192.405868876761,36529.03688846598,47601.16175537049,20700.627795967706,40661,3531.3434331865787,21217.200234654654,27321.953300295547,12101.09947144836,12316.011102774039,47132.444499204415,22631.297676909686,35195.65826955925,19727.737312870362,56956.292705274696,56814.60384600883,5477.319116447537,51770.4020930871,493.79422614475476,919.9844779932406,52530.703261532064,38799.035225821484,438.18166911260647,nan,nan,nan,nan,nan,17,140475.51880075716,54513.00801375482,311461.89582822827,A0,L2,I0,T12,imu_only,S03,X_A0_L2_I0_T12__S03,IMU_ONLY_DRIFTS_AS_EXPECTED,153030.43088456913,1373,,,
X_A0_L2_I1_T11,imu_only_diagnostic_screening,Phase4 L2 single-I T11.,34,17,40661,5138.874946418023,19923.443872403896,25422.90136890188,11818.476590639544,40661,3536.89893601503,16978.43967253442,23054.570855445214,9745.937486460722,40661,1978.8245612271621,11178.624809834357,14419.07119300554,6685.289180992442,5294.193970895031,20184.519214379594,10055.101548915647,14387.296873839427,10132.560408868692,13365.616506125021,13355.691903231054,2586.3917993714845,9716.53450816607,562.1440099918716,1121.3976369603024,22278.97598864291,16410.790156824823,185.75399358216828,nan,nan,nan,nan,nan,17,27482.292337081388,8330.48662919888,55465.67354763696,A0,L2,I1,T11,imu_only,S03,X_A0_L2_I1_T11__S03,IMU_ONLY_DRIFTS_AS_EXPECTED,36454.64758596789,1338,,,
X_A0_L2_I1_T12,imu_only_diagnostic_screening,Phase4 L2 single-I T12.,34,17,40661,5139.158567804103,19924.361701991205,25422.720977666813,11818.469387465277,40661,3536.738411933076,16978.79352780859,23054.38901559085,9745.931435501288,40661,1979.9827297956504,11177.495488646848,14419.382034590057,6685.285268181278,5295.520743156883,20184.33699359167,10055.094024496932,14386.467078340385,10133.2974119655,13379.65149740783,13369.747347663306,2585.7092266921327,9719.999757855454,560.980015223703,1119.1718789720999,22278.97598864291,16410.790156824823,185.75399358216828,nan,nan,nan,nan,nan,17,27522.025279730562,8240.50338981561,55493.011778349166,A0,L2,I1,T12,imu_only,S03,X_A0_L2_I1_T12__S03,IMU_ONLY_DRIFTS_AS_EXPECTED,36485.45626565309,1340,,,
X_A0_L2_I2_T11,imu_only_diagnostic_screening,Phase4 L2 single-I T11.,34,17,40661,5662.164933241586,23075.060364893507,29995.355178402802,13381.270951579081,40661,3865.8592877221745,18250.980859797786,23613.726853401236,10634.240941994118,40661,2203.019532376322,12465.728954964634,18613.89309480441,8122.273811389897,5874.570236115102,22846.458867606656,11133.385056530442,18170.653499949956,10062.4559452976,20359.489750968743,19010.33402625689,2897.194194534564,17893.286120628014,435.5677199182271,821.6156368378372,25577.689434654505,19977.731059754304,213.2393444498702,nan,nan,nan,nan,nan,17,64364.20878219676,21371.3706484934,132090.6697682785,A0,L2,I2,T11,imu_only,S03,X_A0_L2_I2_T11__S03,IMU_ONLY_DRIFTS_AS_EXPECTED,67872.42004762916,1362,,,
X_A0_L2_I2_T12,imu_only_diagnostic_screening,Phase4 L2 single-I T12.,34,17,40661,5661.959317854716,23075.492353982812,29993.62179455741,13381.261166882083,40661,3865.465476113952,18249.85126984341,23614.40062761104,10634.233103832417,40661,2202.4948322198134,12464.402664792593,18614.42484265967,8122.267953574367,5874.934811479394,22845.141848973988,11133.379119671068,18170.58352301961,10060.843111084367,20450.258751040157,19106.17312972382,2898.539550368896,17959.686148265595,434.1442385665998,819.6229199410857,25577.689434654505,19977.731059754304,213.2393444498702,nan,nan,nan,nan,nan,17,64399.40473040484,21477.781181717175,132112.2408486588,A0,L2,I2,T12,imu_only,S03,X_A0_L2_I2_T12__S03,IMU_ONLY_DRIFTS_AS_EXPECTED,67930.16084403647,1363,,,
X_A0_L2_I3_T11,imu_only_diagnostic_screening,Phase4 L2 single-I T11.,34,17,40661,3257.141695271933,15016.678985414723,18470.948531522055,8249.751196409137,40661,2374.6426241217023,11569.408593171343,15197.547811089169,6622.36824291329,40661,950.3580797653357,8512.14134307637,11896.798409758016,4919.617226767497,3888.1037367918125,17311.783164633096,8219.123326888335,11633.757837482133,7371.118026886831,8805.62155748652,8200.418567620698,1567.3069944800723,6552.200982674623,622.6414599716209,1201.6436870866598,19463.544475712886,13168.030976343687,162.2043797271308,nan,nan,nan,nan,nan,17,15709.860960305617,4401.815675712249,30009.706286987228,A0,L2,I3,T11,imu_only,S03,X_A0_L2_I3_T11__S03,IMU_ONLY_DRIFTS_AS_EXPECTED,24220.231007964638,1312,,,
X_A0_L2_I3_T12,imu_only_diagnostic_screening,Phase4 L2 single-I T12.,34,17,40661,3255.5803929076164,15015.681837272658,18470.319389306846,8249.74561015832,40661,2374.2205737801455,11567.34469765071,15198.215575943928,6622.3642460661495,40661,950.6666328863421,8512.277980989107,11898.00508775433,4919.613239346277,3888.3687357758417,17311.869007123405,8219.119476349559,11634.245050457139,7371.011907712249,8811.707217164036,8209.227774492741,1568.891065941238,6565.251455997772,620.9248153813153,1200.2537340658773,19463.544475712886,13168.030976343687,162.2043797271308,nan,nan,nan,nan,nan,17,15745.551600303617,4411.3963513614435,30044.00072102423,A0,L2,I3,T12,imu_only,S03,X_A0_L2_I3_T12__S03,IMU_ONLY_DRIFTS_AS_EXPECTED,24252.03473648045,1313,,,
X_A0_L2_I4_T11,imu_only_diagnostic_screening,Phase4 L2 single-I T11.,34,17,40661,3935.9086451838434,17817.951579120676,22058.14374397016,10209.629972791603,40661,2836.6125149548234,14485.192124835025,18702.721681054136,8499.784860104064,40661,1289.8965775734875,9875.310545773456,13902.248773122428,5655.988111132346,4671.525114303672,19721.241529809413,9308.043457450462,14751.5113238009,8638.080642891713,12381.842049538885,12273.643812568042,2042.7931865556832,11251.040655724402,420.868099563172,762.5233479907814,22382.93554818262,16551.990954895577,186.61712576565503,nan,nan,nan,nan,nan,17,59141.01430965124,23080.722948085662,83818.79146279959,A0,L2,I4,T11,imu_only,S03,X_A0_L2_I4_T11__S03,IMU_ONLY_DRIFTS_AS_EXPECTED,58598.18999435503,1352,,,
X_A0_L2_I4_T12,imu_only_diagnostic_screening,Phase4 L2 single-I T12.,34,17,40661,3937.9677158059953,17818.406414960034,22056.124620308343,10209.623211773765,40661,2837.4006823744435,14485.128599815382,18703.278900530233,8499.779488682005,40661,1290.5521892411173,9875.14117275216,13897.278413256634,5655.983978952766,4672.012856029738,19720.66594349705,9308.036288648123,14753.068390080487,8638.572021878457,12403.413997548607,12313.682640553152,2041.727031752294,11273.491598921079,419.22935802387104,762.4363480685959,22382.93554818262,16551.990954895577,186.61712576565503,nan,nan,nan,nan,nan,17,59223.489584224124,23231.302761924788,83985.7008799577,A0,L2,I4,T12,imu_only,S03,X_A0_L2_I4_T12__S03,IMU_ONLY_DRIFTS_AS_EXPECTED,58667.43444467113,1353,,,
