version,ID,path,location,height,facing,status,N_frames,mean_x,mean_y,mean_z,X_std,Y_std,Z_std,D3_std,radial_p50,radial_p75,radial_p95,radial_max,median_anchors,pct_ge7,pct_ge8
v1-old,ID01,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID01_static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,ok,1201,1318.2790663905325,775.4355732958202,208.57071414579605,19.776262301248263,33.42685308333387,51.01337012379608,64.1156688263483,48.76945563082525,70.62686889086274,119.86859209356965,202.137888646735,8.0,99.75020815986679,91.75686927560366
v1-old,ID02,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID02_static_ID02_BSF66F_120s_20260528_111027,edge,mid,ABEF,ok,1201,1494.3756555467162,702.7558376242778,-854.7442293348686,25.047662235521035,32.555595515379366,46.041267305469454,61.701300455658355,49.11997856140439,69.26360359399027,108.08822777307562,242.42914102534033,8.0,99.91673605328893,95.67027477102414
v1-old,ID03,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID03_static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,ok,1201,1511.7822998650406,618.2800913422486,-1828.8467092636715,25.233145601586042,38.446779801120066,52.826054434888704,70.03897872745203,50.908661801352125,73.67672151774573,135.69189151025876,280.0866844552835,8.0,100.0,92.2564529558701
v1-old,ID04,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID04_static_ID04_BSF66F_120s_20260528_111732,edge,low,BCGF,ok,1201,2179.4993554261664,1070.4520563170613,355.9950985841634,20.391745001855718,25.26021326133152,50.05564503634944,59.661287601204776,37.89683416484779,54.01593853816241,118.1223993776658,248.64178709467882,8.0,100.0,93.83846794338052
v1-old,ID05,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID05_static_ID05_BSF66F_120s_20260528_112057,edge,mid,BCGF,ok,1200,2268.372209512415,1117.5055460342533,-988.6113129448972,20.714834441127056,30.728621301744933,44.68441992468721,58.052131029232164,47.14371658253074,64.43884367331424,101.09361123193125,205.74632491808367,8.0,99.75,91.5
v1-old,ID06,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID06_static_ID06_BSF66F_120s_20260528_112429,edge,high,BCGF,ok,1201,2223.502960210398,1046.2442622556741,-1713.4965448984806,26.04061217773956,36.20820515308451,36.21661621040516,57.45250989061379,41.28059136748286,57.0631663058267,93.55326706710831,264.25316386823357,8.0,99.83347210657784,92.83930058284763
v1-old,ID07,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID07_static_ID07_BSF66F_120s_20260528_112810,edge,low,CDHG,ok,1201,1747.2641768903393,1630.2555447717243,206.45198745587336,17.235508972661524,25.70022715094881,70.03889914133197,76.5703065038056,59.7269096063197,82.2420107754979,131.48877473615937,271.55572680206467,8.0,100.0,90.84096586178185
v1-old,ID08,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID08_static_ID08_BSF66F_120s_20260528_113136,edge,mid,CDHG,ok,1201,1573.3087827694326,1714.3929380651161,-952.076245418672,34.890378796116416,47.522639704655624,58.4962594156333,83.05150319323587,61.32424411714247,84.66681686918996,144.17203811125756,365.21876516654197,8.0,100.0,90.25811823480433
v1-old,ID09,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID09_static_ID09_BSF66F_120s_20260528_113816,edge,high,CDHG,ok,1201,1610.9886515358269,1690.1075473323926,-1451.6031035185197,34.02814525239684,35.72579232114583,46.472507456800706,67.77861650708324,51.22135585768142,72.14834912544278,122.73717528721059,293.1011566504456,8.0,99.91673605328893,93.42214820982515
v1-old,ID10,/home/zekaixiao/Desktop/28052026_Erlangen_Official/solver/work/field_dataset_staged/Static_Test/ID10_static_ID10_BSF66F_120s_20260528_114216,edge,low,ADHE,ok,1201,663.6871010859438,1308.5751495340696,77.63676666910669,24.195799516015082,24.14279501972504,37.725130526934606,50.906745514302024,37.02372491403116,52.59163913670775,93.93951564479552,222.8810984666774,8.0,99.91673605328893,90.75770191507078
